"value","adm1","adm2","adm2_code","year","unit","type","class1","class2"
"136322","Gyeonggi-do","Yangpyeong-gun",31580,2020,"million KRW","tax","income","general"
"62354","Gyeonggi-do","Yeoju-si",31280,2020,"million KRW","tax","income","general"
"12348","Gyeonggi-do","Yeoncheon-gun",31550,2020,"million KRW","tax","income","general"
"124266","Gyeonggi-do","Osan-si",31140,2020,"million KRW","tax","income","general"
"1350480","Gyeonggi-do","Yongin-si",31190,2020,"million KRW","tax","income","general"
"171611","Gyeonggi-do","Uiwang-si",31170,2020,"million KRW","tax","income","general"
"191543","Gyeonggi-do","Uijeongbu-si",31030,2020,"million KRW","tax","income","general"
"140625","Gyeonggi-do","Icheon-si",31210,2020,"million KRW","tax","income","general"
"279829","Gyeonggi-do","Paju-si",31200,2020,"million KRW","tax","income","general"
"338379","Gyeonggi-do","Pyeongtaek-si",31070,2020,"million KRW","tax","income","general"
"84595","Gyeonggi-do","Pocheon-si",31270,2020,"million KRW","tax","income","general"
"327382","Gyeonggi-do","Hanam-si",31180,2020,"million KRW","tax","income","general"
"879455","Gyeonggi-do","Hwaseong-si",31240,2020,"million KRW","tax","income","general"
"124154","Gangwon-do","Gangneung-si",32030,2020,"million KRW","tax","income","general"
"10844","Gangwon-do","Goseong-gun",32600,2020,"million KRW","tax","income","general"
"37086","Gangwon-do","Donghae-si",32040,2020,"million KRW","tax","income","general"
"21429","Gangwon-do","Samcheok-si",32070,2020,"million KRW","tax","income","general"
"56820","Gangwon-do","Sokcho-si",32060,2020,"million KRW","tax","income","general"
"4870","Gangwon-do","Yanggu-gun",32580,2020,"million KRW","tax","income","general"
"13557","Gangwon-do","Yangyang-gun",32610,2020,"million KRW","tax","income","general"
"13478","Gangwon-do","Yeongwol-gun",32530,2020,"million KRW","tax","income","general"
"195227","Gangwon-do","Wonju-si",32020,2020,"million KRW","tax","income","general"
"11030","Gangwon-do","Inje-gun",32590,2020,"million KRW","tax","income","general"
"9615","Gangwon-do","Jeongseon-gun",32550,2020,"million KRW","tax","income","general"
"11539","Gangwon-do","Cheorwon-gun",32560,2020,"million KRW","tax","income","general"
"143128","Gangwon-do","Chuncheon-si",32010,2020,"million KRW","tax","income","general"
"12103","Gangwon-do","Taebaek-si",32050,2020,"million KRW","tax","income","general"
"20241","Gangwon-do","Pyeongchang-gun",32540,2020,"million KRW","tax","income","general"
"24351","Gangwon-do","Hongcheon-gun",32510,2020,"million KRW","tax","income","general"
"5579","Gangwon-do","Hwacheon-gun",32570,2020,"million KRW","tax","income","general"
"17291","Gangwon-do","Hoengseong-gun",32520,2020,"million KRW","tax","income","general"
"62275","Daejeon","Daedeok-gu",25050,2020,"million KRW","tax","income","general"
"72283","Daejeon","Dong-gu",25010,2020,"million KRW","tax","income","general"
"335318","Daejeon","Seo-gu",25030,2020,"million KRW","tax","income","general"
"467497","Daejeon","Yuseong-gu",25040,2020,"million KRW","tax","income","general"
"117220","Daejeon","Jung-gu",25020,2020,"million KRW","tax","income","general"
"10321","Chungcheongbuk-do","Goesan-gun",33560,2020,"million KRW","tax","income","general"
"7899","Chungcheongbuk-do","Danyang-gun",33580,2020,"million KRW","tax","income","general"
"7396","Chungcheongbuk-do","Boeun-gun",33520,2020,"million KRW","tax","income","general"
"11339","Chungcheongbuk-do","Yeongdong-gun",33540,2020,"million KRW","tax","income","general"
"15745","Chungcheongbuk-do","Okcheon-gun",33530,2020,"million KRW","tax","income","general"
"50331","Chungcheongbuk-do","Eumseong-gun",33570,2020,"million KRW","tax","income","general"
"54249","Chungcheongbuk-do","Jecheon-si",33030,2020,"million KRW","tax","income","general"
"12408","Chungcheongbuk-do","Jeungpyeong-gun",33590,2020,"million KRW","tax","income","general"
"44149","Chungcheongbuk-do","Jincheon-gun",33550,2020,"million KRW","tax","income","general"
"524478","Chungcheongbuk-do","Cheongju-si",33040,2020,"million KRW","tax","income","general"
"103493","Chungcheongbuk-do","Chungju-si",33020,2020,"million KRW","tax","income","general"
"19396","Chungcheongnam-do","Gyeryong-si",34070,2020,"million KRW","tax","income","general"
"40976","Chungcheongnam-do","Gongju-si",34020,2020,"million KRW","tax","income","general"
"16715","Chungcheongnam-do","Geumsan-gun",34510,2020,"million KRW","tax","income","general"
"31166","Chungcheongnam-do","Nonsan-si",34060,2020,"million KRW","tax","income","general"
"81137","Chungcheongnam-do","Dangjin-si",34080,2020,"million KRW","tax","income","general"
"38896","Chungcheongnam-do","Boryeong-si",34030,2020,"million KRW","tax","income","general"
"14792","Chungcheongnam-do","Buyeo-gun",34530,2020,"million KRW","tax","income","general"
"99423","Chungcheongnam-do","Seosan-si",34050,2020,"million KRW","tax","income","general"
"16473","Chungcheongnam-do","Seocheon-gun",34540,2020,"million KRW","tax","income","general"
"223877","Chungcheongnam-do","Asan-si",34040,2020,"million KRW","tax","income","general"
"30498","Chungcheongnam-do","Yesan-gun",34570,2020,"million KRW","tax","income","general"
"511559","Chungcheongnam-do","Cheonan-si",34010,2020,"million KRW","tax","income","general"
"6932","Chungcheongnam-do","Cheongyang-gun",34550,2020,"million KRW","tax","income","general"
"26385","Chungcheongnam-do","Taean-gun",34580,2020,"million KRW","tax","income","general"
"43116","Chungcheongnam-do","Hongseong-gun",34560,2020,"million KRW","tax","income","general"
"281903","Sejong","Sejong-si",29010,2020,"million KRW","tax","income","general"
"211260","Gwangju","Gwangsan-gu",24050,2020,"million KRW","tax","income","general"
"249424","Gwangju","Nam-gu",24030,2020,"million KRW","tax","income","general"
"92053","Gwangju","Dong-gu",24010,2020,"million KRW","tax","income","general"
"238061","Gwangju","Buk-gu",24040,2020,"million KRW","tax","income","general"
"273018","Gwangju","Seo-gu",24020,2020,"million KRW","tax","income","general"
"15036","Jeollabuk-do","Gochang-gun",35570,2020,"million KRW","tax","income","general"
"114152","Jeollabuk-do","Gunsan-si",35020,2020,"million KRW","tax","income","general"
"24980","Jeollabuk-do","Gimje-si",35060,2020,"million KRW","tax","income","general"
"23920","Jeollabuk-do","Namwon-si",35050,2020,"million KRW","tax","income","general"
"5804","Jeollabuk-do","Muju-gun",35530,2020,"million KRW","tax","income","general"
"12968","Jeollabuk-do","Buan-gun",35580,2020,"million KRW","tax","income","general"
"5235","Jeollabuk-do","Sunchang-gun",35560,2020,"million KRW","tax","income","general"
"31023","Jeollabuk-do","Wanju-gun",35510,2020,"million KRW","tax","income","general"
"122391","Jeollabuk-do","Iksan-si",35030,2020,"million KRW","tax","income","general"
"5345","Jeollabuk-do","Imsil-gun",35550,2020,"million KRW","tax","income","general"
"3301","Jeollabuk-do","Jangsu-gun",35540,2020,"million KRW","tax","income","general"
"450263","Jeollabuk-do","Jeonju-si",35010,2020,"million KRW","tax","income","general"
"31065","Jeollabuk-do","Jeongeup-si",35040,2020,"million KRW","tax","income","general"
"5620","Jeollabuk-do","Jinan-gun",35520,2020,"million KRW","tax","income","general"
"7606","Jeollanam-do","Gangjin-gun",36590,2020,"million KRW","tax","income","general"
"12004","Jeollanam-do","Goheung-gun",36550,2020,"million KRW","tax","income","general"
"6812","Jeollanam-do","Gokseong-gun",36520,2020,"million KRW","tax","income","general"
"78639","Jeollanam-do","Gwangyang-si",36060,2020,"million KRW","tax","income","general"
"5750","Jeollanam-do","Gurye-gun",36530,2020,"million KRW","tax","income","general"
"40549","Jeollanam-do","Naju-si",36040,2020,"million KRW","tax","income","general"
"19404","Jeollanam-do","Damyang-gun",36510,2020,"million KRW","tax","income","general"
"96013","Jeollanam-do","Mokpo-si",36010,2020,"million KRW","tax","income","general"
"41960","Jeollanam-do","Muan-gun",36620,2020,"million KRW","tax","income","general"
"9866","Jeollanam-do","Boseong-gun",36560,2020,"million KRW","tax","income","general"
"173501","Jeollanam-do","Suncheon-si",36030,2020,"million KRW","tax","income","general"
"10214","Jeollanam-do","Sinan-gun",36680,2020,"million KRW","tax","income","general"
"192693","Jeollanam-do","Yeosu-si",36020,2020,"million KRW","tax","income","general"
"15354","Jeollanam-do","Yeonggwang-gun",36640,2020,"million KRW","tax","income","general"
"12105","Jeollanam-do","Yeongam-gun",36610,2020,"million KRW","tax","income","general"
"12142","Jeollanam-do","Wando-gun",36660,2020,"million KRW","tax","income","general"
"14445","Jeollanam-do","Jangseong-gun",36650,2020,"million KRW","tax","income","general"
"7270","Jeollanam-do","Jangheung-gun",36580,2020,"million KRW","tax","income","general"
"6586","Jeollanam-do","Jindo-gun",36670,2020,"million KRW","tax","income","general"
"8215","Jeollanam-do","Hampyeong-gun",36630,2020,"million KRW","tax","income","general"
"21202","Jeollanam-do","Haenam-gun",36600,2020,"million KRW","tax","income","general"
"19613","Jeollanam-do","Hwasun-gun",36570,2020,"million KRW","tax","income","general"
"63982","Daegu","Nam-gu",22040,2020,"million KRW","tax","income","general"
"383510","Daegu","Dalseo-gu",22070,2020,"million KRW","tax","income","general"
"117848","Daegu","Dalseong-gun",22510,2020,"million KRW","tax","income","general"
"155701","Daegu","Dong-gu",22020,2020,"million KRW","tax","income","general"
"202553","Daegu","Buk-gu",22050,2020,"million KRW","tax","income","general"
"45624","Daegu","Seo-gu",22030,2020,"million KRW","tax","income","general"
"1009009","Daegu","Suseong-gu",22060,2020,"million KRW","tax","income","general"
"90157","Daegu","Jung-gu",22010,2020,"million KRW","tax","income","general"
"8765","Daegu","Gunwi-gun",22520,2020,"million KRW","tax","income","general"
"98706","Gyeongsangbuk-do","Gyeongsan-si",37100,2020,"million KRW","tax","income","general"
"139299","Gyeongsangbuk-do","Gyeongju-si",37020,2020,"million KRW","tax","income","general"
"13781","Gyeongsangbuk-do","Goryeong-gun",37570,2020,"million KRW","tax","income","general"
"215262","Gyeongsangbuk-do","Gumi-si",37050,2020,"million KRW","tax","income","general"
"49504","Gyeongsangbuk-do","Gimcheon-si",37030,2020,"million KRW","tax","income","general"
"25973","Gyeongsangbuk-do","Mungyeong-si",37090,2020,"million KRW","tax","income","general"
"6984","Gyeongsangbuk-do","Bonghwa-gun",37610,2020,"million KRW","tax","income","general"
"27656","Gyeongsangbuk-do","Sangju-si",37080,2020,"million KRW","tax","income","general"
"18181","Gyeongsangbuk-do","Seongju-gun",37580,2020,"million KRW","tax","income","general"
"61575","Gyeongsangbuk-do","Andong-si",37040,2020,"million KRW","tax","income","general"
"9326","Gyeongsangbuk-do","Yeongdeok-gun",37550,2020,"million KRW","tax","income","general"
"2816","Gyeongsangbuk-do","Yeongyang-gun",37540,2020,"million KRW","tax","income","general"
"36761","Gyeongsangbuk-do","Yeongju-si",37060,2020,"million KRW","tax","income","general"
"33386","Gyeongsangbuk-do","Yeongcheon-si",37070,2020,"million KRW","tax","income","general"
"15106","Gyeongsangbuk-do","Yecheon-gun",37600,2020,"million KRW","tax","income","general"
"3474","Gyeongsangbuk-do","Ulleung-gun",37630,2020,"million KRW","tax","income","general"
"16500","Gyeongsangbuk-do","Uljin-gun",37620,2020,"million KRW","tax","income","general"
"10248","Gyeongsangbuk-do","Uiseong-gun",37520,2020,"million KRW","tax","income","general"
"18471","Gyeongsangbuk-do","Cheongdo-gun",37560,2020,"million KRW","tax","income","general"
"4314","Gyeongsangbuk-do","Cheongsong-gun",37530,2020,"million KRW","tax","income","general"
"46601","Gyeongsangbuk-do","Chilgok-gun",37590,2020,"million KRW","tax","income","general"
"309010","Gyeongsangbuk-do","Pohang-si",37010,2020,"million KRW","tax","income","general"
"151983","Busan","Gangseo-gu",21120,2020,"million KRW","tax","income","general"
"205167","Busan","Geumjeong-gu",21110,2020,"million KRW","tax","income","general"
"93481","Busan","Gijang-gun",21510,2020,"million KRW","tax","income","general"
"287608","Busan","Nam-gu",21070,2020,"million KRW","tax","income","general"
"39323","Busan","Dong-gu",21030,2020,"million KRW","tax","income","general"
"241086","Busan","Dongnae-gu",21060,2020,"million KRW","tax","income","general"
"213913","Busan","Busanjin-gu",21050,2020,"million KRW","tax","income","general"
"173117","Busan","Buk-gu",21080,2020,"million KRW","tax","income","general"
"79112","Busan","Sasang-gu",21150,2020,"million KRW","tax","income","general"
"123519","Busan","Saha-gu",21100,2020,"million KRW","tax","income","general"
"70892","Busan","Seo-gu",21020,2020,"million KRW","tax","income","general"
"161093","Busan","Suyeong-gu",21140,2020,"million KRW","tax","income","general"
"152335","Busan","Yeonje-gu",21130,2020,"million KRW","tax","income","general"
"43682","Busan","Yeongdo-gu",21040,2020,"million KRW","tax","income","general"
"13808","Busan","Jung-gu",21010,2020,"million KRW","tax","income","general"
"897633","Busan","Haeundae-gu",21090,2020,"million KRW","tax","income","general"
"344054","Ulsan","Nam-gu",26020,2020,"million KRW","tax","income","general"
"144168","Ulsan","Dong-gu",26030,2020,"million KRW","tax","income","general"
"156387","Ulsan","Buk-gu",26040,2020,"million KRW","tax","income","general"
"133645","Ulsan","Ulju-gun",26510,2020,"million KRW","tax","income","general"
"159683","Ulsan","Jung-gu",26010,2020,"million KRW","tax","income","general"
"91169","Gyeongsangnam-do","Geoje-si",38090,2020,"million KRW","tax","income","general"
"21259","Gyeongsangnam-do","Geochang-gun",38590,2020,"million KRW","tax","income","general"
"15111","Gyeongsangnam-do","Goseong-gun",38540,2020,"million KRW","tax","income","general"
"303840","Gyeongsangnam-do","Gimhae-si",38070,2020,"million KRW","tax","income","general"
"13418","Gyeongsangnam-do","Namhae-gun",38550,2020,"million KRW","tax","income","general"
"38939","Gyeongsangnam-do","Miryang-si",38080,2020,"million KRW","tax","income","general"
"47488","Gyeongsangnam-do","Sacheon-si",38060,2020,"million KRW","tax","income","general"
"10217","Gyeongsangnam-do","Sancheong-gun",38570,2020,"million KRW","tax","income","general"
"171798","Gyeongsangnam-do","Yangsan-si",38100,2020,"million KRW","tax","income","general"
"5416","Gyeongsangnam-do","Uiryeong-gun",38510,2020,"million KRW","tax","income","general"
"234446","Gyeongsangnam-do","Jinju-si",38030,2020,"million KRW","tax","income","general"
"17680","Gyeongsangnam-do","Changnyeong-gun",38530,2020,"million KRW","tax","income","general"
"707124","Gyeongsangnam-do","Changwon-si",38110,2020,"million KRW","tax","income","general"
"53335","Gyeongsangnam-do","Tongyeong-si",38050,2020,"million KRW","tax","income","general"
"10721","Gyeongsangnam-do","Hadong-gun",38560,2020,"million KRW","tax","income","general"
"28144","Gyeongsangnam-do","Haman-gun",38520,2020,"million KRW","tax","income","general"
"11631","Gyeongsangnam-do","Hamyang-gun",38580,2020,"million KRW","tax","income","general"
"9939","Gyeongsangnam-do","Hapcheon-gun",38600,2020,"million KRW","tax","income","general"
"333846","Jeju-do","Jeju-si",39010,2020,"million KRW","tax","income","general"
"139821","Jeju-do","Seogwipo-si",39020,2020,"million KRW","tax","income","general"
