"year","sggcd","type","class1","class2","unit","value"
2010,"32060","economy","grdp","transportation and storage","million KRW",60680
2010,"32070","economy","grdp","transportation and storage","million KRW",85590
2010,"32310","economy","grdp","transportation and storage","million KRW",48452
2010,"32320","economy","grdp","transportation and storage","million KRW",31855
2010,"32330","economy","grdp","transportation and storage","million KRW",21387
2010,"32340","economy","grdp","transportation and storage","million KRW",23147
2010,"32350","economy","grdp","transportation and storage","million KRW",16786
2010,"32360","economy","grdp","transportation and storage","million KRW",7120
2010,"32370","economy","grdp","transportation and storage","million KRW",3792
2010,"32380","economy","grdp","transportation and storage","million KRW",5161
2010,"32390","economy","grdp","transportation and storage","million KRW",7333
2010,"32400","economy","grdp","transportation and storage","million KRW",9098
2010,"32410","economy","grdp","transportation and storage","million KRW",7272
2010,"32010","economy","grdp","accommodation and food service activities","million KRW",167599
2010,"32020","economy","grdp","accommodation and food service activities","million KRW",178283
2010,"32030","economy","grdp","accommodation and food service activities","million KRW",149153
2010,"32040","economy","grdp","accommodation and food service activities","million KRW",59379
2010,"32050","economy","grdp","accommodation and food service activities","million KRW",36718
2010,"32060","economy","grdp","accommodation and food service activities","million KRW",84849
2010,"32070","economy","grdp","accommodation and food service activities","million KRW",37474
2010,"32310","economy","grdp","accommodation and food service activities","million KRW",119735
2010,"32320","economy","grdp","accommodation and food service activities","million KRW",36911
2010,"32330","economy","grdp","accommodation and food service activities","million KRW",22648
2010,"32340","economy","grdp","accommodation and food service activities","million KRW",118688
2010,"32350","economy","grdp","accommodation and food service activities","million KRW",57687
2010,"32360","economy","grdp","accommodation and food service activities","million KRW",24003
2010,"32370","economy","grdp","accommodation and food service activities","million KRW",13416
2010,"32380","economy","grdp","accommodation and food service activities","million KRW",11382
2010,"32390","economy","grdp","accommodation and food service activities","million KRW",25337
2010,"32400","economy","grdp","accommodation and food service activities","million KRW",44104
2010,"32410","economy","grdp","accommodation and food service activities","million KRW",64559
2010,"32010","economy","grdp","information and communication","million KRW",193859
2010,"32020","economy","grdp","information and communication","million KRW",165281
2010,"32030","economy","grdp","information and communication","million KRW",111733
2010,"32040","economy","grdp","information and communication","million KRW",27012
2010,"32050","economy","grdp","information and communication","million KRW",16784
2010,"32060","economy","grdp","information and communication","million KRW",28421
2010,"32070","economy","grdp","information and communication","million KRW",30829
2010,"32310","economy","grdp","information and communication","million KRW",33299
2010,"32320","economy","grdp","information and communication","million KRW",32391
2010,"32330","economy","grdp","information and communication","million KRW",24451
2010,"32340","economy","grdp","information and communication","million KRW",21440
2010,"32350","economy","grdp","information and communication","million KRW",21416
2010,"32360","economy","grdp","information and communication","million KRW",22019
2010,"32370","economy","grdp","information and communication","million KRW",15853
2010,"32380","economy","grdp","information and communication","million KRW",18507
2010,"32390","economy","grdp","information and communication","million KRW",17328
2010,"32400","economy","grdp","information and communication","million KRW",9309
2010,"32410","economy","grdp","information and communication","million KRW",15680
2010,"32010","economy","grdp","financial and insurance activities","million KRW",287927
2010,"32020","economy","grdp","financial and insurance activities","million KRW",306057
2010,"32030","economy","grdp","financial and insurance activities","million KRW",212937
2010,"32040","economy","grdp","financial and insurance activities","million KRW",78024
2010,"32050","economy","grdp","financial and insurance activities","million KRW",48021
2010,"32060","economy","grdp","financial and insurance activities","million KRW",79478
2010,"32070","economy","grdp","financial and insurance activities","million KRW",51200
2010,"32310","economy","grdp","financial and insurance activities","million KRW",54406
2010,"32320","economy","grdp","financial and insurance activities","million KRW",29932
2010,"32330","economy","grdp","financial and insurance activities","million KRW",27944
2010,"32340","economy","grdp","financial and insurance activities","million KRW",38333
2010,"32350","economy","grdp","financial and insurance activities","million KRW",34708
2010,"32360","economy","grdp","financial and insurance activities","million KRW",30587
2010,"32370","economy","grdp","financial and insurance activities","million KRW",14591
2010,"32380","economy","grdp","financial and insurance activities","million KRW",13750
2010,"32390","economy","grdp","financial and insurance activities","million KRW",25011
2010,"32400","economy","grdp","financial and insurance activities","million KRW",18530
2010,"32410","economy","grdp","financial and insurance activities","million KRW",18029
2010,"32010","economy","grdp","real estate activities; rental and leasing activities","million KRW",395977
2010,"32020","economy","grdp","real estate activities; rental and leasing activities","million KRW",423763
2010,"32030","economy","grdp","real estate activities; rental and leasing activities","million KRW",280601
2010,"32040","economy","grdp","real estate activities; rental and leasing activities","million KRW",118875
2010,"32050","economy","grdp","real estate activities; rental and leasing activities","million KRW",53220
2010,"32060","economy","grdp","real estate activities; rental and leasing activities","million KRW",114778
2010,"32070","economy","grdp","real estate activities; rental and leasing activities","million KRW",85987
2010,"32310","economy","grdp","real estate activities; rental and leasing activities","million KRW",60274
2010,"32320","economy","grdp","real estate activities; rental and leasing activities","million KRW",36538
2010,"32330","economy","grdp","real estate activities; rental and leasing activities","million KRW",32151
2010,"32340","economy","grdp","real estate activities; rental and leasing activities","million KRW",47108
2010,"32350","economy","grdp","real estate activities; rental and leasing activities","million KRW",45138
2010,"32360","economy","grdp","real estate activities; rental and leasing activities","million KRW",34531
2010,"32370","economy","grdp","real estate activities; rental and leasing activities","million KRW",18929
2010,"32380","economy","grdp","real estate activities; rental and leasing activities","million KRW",15326
2010,"32390","economy","grdp","real estate activities; rental and leasing activities","million KRW",23468
2010,"32400","economy","grdp","real estate activities; rental and leasing activities","million KRW",24777
2010,"32410","economy","grdp","real estate activities; rental and leasing activities","million KRW",29343
2010,"32010","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",308148
2010,"32020","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",298690
2010,"32030","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",183025
2010,"32040","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",53270
2010,"32050","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",26851
2010,"32060","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",42880
2010,"32070","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",34261
2010,"32310","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",29493
2010,"32320","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",26001
2010,"32330","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",22179
2010,"32340","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",54597
2010,"32350","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",49803
2010,"32360","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",10887
2010,"32370","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",3167
2010,"32380","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",2933
2010,"32390","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",10540
2010,"32400","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",9302
2010,"32410","economy","grdp","professional, scientific and technical activities; business support facilities","million KRW",8738
2010,"32010","economy","grdp","public administration and defence; compulsory social security","million KRW",794166
2010,"32020","economy","grdp","public administration and defence; compulsory social security","million KRW",534443
2010,"32030","economy","grdp","public administration and defence; compulsory social security","million KRW",471253
2010,"32040","economy","grdp","public administration and defence; compulsory social security","million KRW",364234
2010,"32050","economy","grdp","public administration and defence; compulsory social security","million KRW",141885
2010,"32060","economy","grdp","public administration and defence; compulsory social security","million KRW",200765
2010,"32070","economy","grdp","public administration and defence; compulsory social security","million KRW",238767
2010,"32310","economy","grdp","public administration and defence; compulsory social security","million KRW",383977
2010,"32320","economy","grdp","public administration and defence; compulsory social security","million KRW",142862
2010,"32330","economy","grdp","public administration and defence; compulsory social security","million KRW",169363
2010,"32340","economy","grdp","public administration and defence; compulsory social security","million KRW",127120
2010,"32350","economy","grdp","public administration and defence; compulsory social security","million KRW",140500
2010,"32360","economy","grdp","public administration and defence; compulsory social security","million KRW",553628
2010,"32370","economy","grdp","public administration and defence; compulsory social security","million KRW",554496
2010,"32380","economy","grdp","public administration and defence; compulsory social security","million KRW",306241
2010,"32390","economy","grdp","public administration and defence; compulsory social security","million KRW",495065
2010,"32400","economy","grdp","public administration and defence; compulsory social security","million KRW",281264
2010,"32410","economy","grdp","public administration and defence; compulsory social security","million KRW",203467
2010,"32010","economy","grdp","education","million KRW",612545
2010,"32020","economy","grdp","education","million KRW",639358
2010,"32030","economy","grdp","education","million KRW",420987
2010,"32040","economy","grdp","education","million KRW",124804
2010,"32050","economy","grdp","education","million KRW",73237
2010,"32060","economy","grdp","education","million KRW",120753
2010,"32070","economy","grdp","education","million KRW",114415
2010,"32310","economy","grdp","education","million KRW",98394
2010,"32320","economy","grdp","education","million KRW",67552
2010,"32330","economy","grdp","education","million KRW",66941
2010,"32340","economy","grdp","education","million KRW",60780
2010,"32350","economy","grdp","education","million KRW",59724
2010,"32360","economy","grdp","education","million KRW",65653
2010,"32370","economy","grdp","education","million KRW",36473
2010,"32380","economy","grdp","education","million KRW",39032
2010,"32390","economy","grdp","education","million KRW",47993
2010,"32400","economy","grdp","education","million KRW",56521
2010,"32410","economy","grdp","education","million KRW",34798
2010,"32010","economy","grdp","human health and social work activities","million KRW",285382
2010,"32020","economy","grdp","human health and social work activities","million KRW",324722
2010,"32030","economy","grdp","human health and social work activities","million KRW",208238
2010,"32040","economy","grdp","human health and social work activities","million KRW",87244
2010,"32050","economy","grdp","human health and social work activities","million KRW",48367
2010,"32060","economy","grdp","human health and social work activities","million KRW",78769
2010,"32070","economy","grdp","human health and social work activities","million KRW",52988
2010,"32310","economy","grdp","human health and social work activities","million KRW",52142
2010,"32320","economy","grdp","human health and social work activities","million KRW",29356
2010,"32330","economy","grdp","human health and social work activities","million KRW",32404
2010,"32340","economy","grdp","human health and social work activities","million KRW",23541
2010,"32350","economy","grdp","human health and social work activities","million KRW",26025
2010,"32360","economy","grdp","human health and social work activities","million KRW",36739
2010,"32370","economy","grdp","human health and social work activities","million KRW",15938
2010,"32380","economy","grdp","human health and social work activities","million KRW",13662
2010,"32390","economy","grdp","human health and social work activities","million KRW",25208
2010,"32400","economy","grdp","human health and social work activities","million KRW",21969
2010,"32410","economy","grdp","human health and social work activities","million KRW",17044
2010,"32010","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",297759
2010,"32020","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",277910
2010,"32030","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",197270
2010,"32040","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",80342
2010,"32050","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",43349
2010,"32060","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",80890
2010,"32070","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",62111
2010,"32310","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",77572
2010,"32320","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",43616
2010,"32330","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",39392
2010,"32340","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",42035
2010,"32350","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",221724
2010,"32360","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",57249
2010,"32370","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",18137
2010,"32380","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",14862
2010,"32390","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",41810
2010,"32400","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",41450
2010,"32410","economy","grdp","arts, sports and recreation; membership organizations and personal services","million KRW",32614
2015,"32010","economy","grdp","gross regional domestic product at market prices","million KRW",6460226
2015,"32020","economy","grdp","gross regional domestic product at market prices","million KRW",8002253
2015,"32030","economy","grdp","gross regional domestic product at market prices","million KRW",4740366
2015,"32040","economy","grdp","gross regional domestic product at market prices","million KRW",2798341
