"year","adm2_code","class2","value","type","class1","unit","adm1","adm2"
2010,21030,"male",44469,"population","all households","persons","Busan","Dong-gu"
2010,21030,"female",47793,"population","all households","persons","Busan","Dong-gu"
2010,21040,"total",135039,"population","all households","persons","Busan","Yeongdo-gu"
2010,21040,"male",65936,"population","all households","persons","Busan","Yeongdo-gu"
2010,21040,"female",69103,"population","all households","persons","Busan","Yeongdo-gu"
2010,21050,"total",372727,"population","all households","persons","Busan","Busanjin-gu"
2010,21050,"male",178685,"population","all households","persons","Busan","Busanjin-gu"
2010,21050,"female",194042,"population","all households","persons","Busan","Busanjin-gu"
2010,21060,"total",261403,"population","all households","persons","Busan","Dongnae-gu"
2010,21060,"male",125796,"population","all households","persons","Busan","Dongnae-gu"
2010,21060,"female",135607,"population","all households","persons","Busan","Dongnae-gu"
2010,21070,"total",285179,"population","all households","persons","Busan","Nam-gu"
2010,21070,"male",138457,"population","all households","persons","Busan","Nam-gu"
2010,21070,"female",146722,"population","all households","persons","Busan","Nam-gu"
2010,21080,"total",296433,"population","all households","persons","Busan","Buk-gu"
2010,21080,"male",144628,"population","all households","persons","Busan","Buk-gu"
2010,21080,"female",151805,"population","all households","persons","Busan","Buk-gu"
2010,21090,"total",401573,"population","all households","persons","Busan","Haeundae-gu"
2010,21090,"male",192176,"population","all households","persons","Busan","Haeundae-gu"
2010,21090,"female",209397,"population","all households","persons","Busan","Haeundae-gu"
2010,21100,"total",334859,"population","all households","persons","Busan","Saha-gu"
2010,21100,"male",163683,"population","all households","persons","Busan","Saha-gu"
2010,21100,"female",171176,"population","all households","persons","Busan","Saha-gu"
2010,21110,"total",238388,"population","all households","persons","Busan","Geumjeong-gu"
2010,21110,"male",115191,"population","all households","persons","Busan","Geumjeong-gu"
2010,21110,"female",123197,"population","all households","persons","Busan","Geumjeong-gu"
2010,21120,"total",50078,"population","all households","persons","Busan","Gangseo-gu"
2010,21120,"male",24984,"population","all households","persons","Busan","Gangseo-gu"
2010,21120,"female",25094,"population","all households","persons","Busan","Gangseo-gu"
2010,21130,"total",198447,"population","all households","persons","Busan","Yeonjae-gu"
2010,21130,"male",95341,"population","all households","persons","Busan","Yeonjae-gu"
2010,21130,"female",103106,"population","all households","persons","Busan","Yeonjae-gu"
2010,21140,"total",166498,"population","all households","persons","Busan","Suyeong-gu"
2010,21140,"male",78604,"population","all households","persons","Busan","Suyeong-gu"
2010,21140,"female",87894,"population","all households","persons","Busan","Suyeong-gu"
2010,21150,"total",243137,"population","all households","persons","Busan","Sasang-gu"
2010,21150,"male",120514,"population","all households","persons","Busan","Sasang-gu"
2010,21150,"female",122623,"population","all households","persons","Busan","Sasang-gu"
2010,21310,"total",90552,"population","all households","persons","Busan","Gijang-gun"
2010,21310,"male",44106,"population","all households","persons","Busan","Gijang-gun"
2010,21310,"female",46446,"population","all households","persons","Busan","Gijang-gun"
2010,22010,"total",71024,"population","all households","persons","Daegu","Jung-gu"
2010,22010,"male",33965,"population","all households","persons","Daegu","Jung-gu"
2010,22010,"female",37059,"population","all households","persons","Daegu","Jung-gu"
2010,22020,"total",313776,"population","all households","persons","Daegu","Dong-gu"
2010,22020,"male",152815,"population","all households","persons","Daegu","Dong-gu"
2010,22020,"female",160961,"population","all households","persons","Daegu","Dong-gu"
2010,22030,"total",207609,"population","all households","persons","Daegu","Seo-gu"
2010,22030,"male",102119,"population","all households","persons","Daegu","Seo-gu"
2010,22030,"female",105490,"population","all households","persons","Daegu","Seo-gu"
2010,22040,"total",165909,"population","all households","persons","Daegu","Nam-gu"
2010,22040,"male",78570,"population","all households","persons","Daegu","Nam-gu"
2010,22040,"female",87339,"population","all households","persons","Daegu","Nam-gu"
2010,22050,"total",440681,"population","all households","persons","Daegu","Buk-gu"
2010,22050,"male",217193,"population","all households","persons","Daegu","Buk-gu"
2010,22050,"female",223488,"population","all households","persons","Daegu","Buk-gu"
2010,22060,"total",438024,"population","all households","persons","Daegu","Suseong-gu"
2010,22060,"male",211467,"population","all households","persons","Daegu","Suseong-gu"
2010,22060,"female",226557,"population","all households","persons","Daegu","Suseong-gu"
2010,22070,"total",591182,"population","all households","persons","Daegu","Dalseo-gu"
2010,22070,"male",289772,"population","all households","persons","Daegu","Dalseo-gu"
2010,22070,"female",301410,"population","all households","persons","Daegu","Dalseo-gu"
2010,22310,"total",162548,"population","all households","persons","Daegu","Dalseong-gun"
2010,22310,"male",80614,"population","all households","persons","Daegu","Dalseong-gun"
2010,22310,"female",81934,"population","all households","persons","Daegu","Dalseong-gun"
2010,23010,"total",81636,"population","all households","persons","Incheon","Jung-gu"
2010,23010,"male",40786,"population","all households","persons","Incheon","Jung-gu"
2010,23010,"female",40850,"population","all households","persons","Incheon","Jung-gu"
2010,23020,"total",72489,"population","all households","persons","Incheon","Dong-gu"
2010,23020,"male",35695,"population","all households","persons","Incheon","Dong-gu"
2010,23020,"female",36794,"population","all households","persons","Incheon","Dong-gu"
2010,23030,"total",406898,"population","all households","persons","Incheon","Nam-gu"
2010,23030,"male",202166,"population","all households","persons","Incheon","Nam-gu"
2010,23030,"female",204732,"population","all households","persons","Incheon","Nam-gu"
2010,23040,"total",271927,"population","all households","persons","Incheon","Yeonsu-gu"
2010,23040,"male",135270,"population","all households","persons","Incheon","Yeonsu-gu"
2010,23040,"female",136657,"population","all households","persons","Incheon","Yeonsu-gu"
2010,23050,"total",451321,"population","all households","persons","Incheon","Namdong-gu"
2010,23050,"male",220684,"population","all households","persons","Incheon","Namdong-gu"
2010,23050,"female",230637,"population","all households","persons","Incheon","Namdong-gu"
2010,23060,"total",535971,"population","all households","persons","Incheon","Bupyeong-gu"
2010,23060,"male",262438,"population","all households","persons","Incheon","Bupyeong-gu"
2010,23060,"female",273533,"population","all households","persons","Incheon","Bupyeong-gu"
2010,23070,"total",331094,"population","all households","persons","Incheon","Gyeyang-gu"
2010,23070,"male",162452,"population","all households","persons","Incheon","Gyeyang-gu"
2010,23070,"female",168642,"population","all households","persons","Incheon","Gyeyang-gu"
2010,23080,"total",385984,"population","all households","persons","Incheon","Seo-gu"
2010,23080,"male",192787,"population","all households","persons","Incheon","Seo-gu"
2010,23080,"female",193197,"population","all households","persons","Incheon","Seo-gu"
2010,23310,"total",54108,"population","all households","persons","Incheon","Ganghwa-gun"
2010,23310,"male",25962,"population","all households","persons","Incheon","Ganghwa-gun"
2010,23310,"female",28146,"population","all households","persons","Incheon","Ganghwa-gun"
2010,23320,"total",13739,"population","all households","persons","Incheon","Ongjin-gun"
2010,23320,"male",7080,"population","all households","persons","Incheon","Ongjin-gun"
2010,23320,"female",6659,"population","all households","persons","Incheon","Ongjin-gun"
2010,24010,"total",100937,"population","all households","persons","Gwangju","Dong-gu"
2010,24010,"male",49242,"population","all households","persons","Gwangju","Dong-gu"
2010,24010,"female",51695,"population","all households","persons","Gwangju","Dong-gu"
2010,24020,"total",301298,"population","all households","persons","Gwangju","Seo-gu"
2010,24020,"male",146003,"population","all households","persons","Gwangju","Seo-gu"
2010,24020,"female",155295,"population","all households","persons","Gwangju","Seo-gu"
2010,24030,"total",208837,"population","all households","persons","Gwangju","Nam-gu"
2010,24030,"male",99873,"population","all households","persons","Gwangju","Nam-gu"
2010,24030,"female",108964,"population","all households","persons","Gwangju","Nam-gu"
2010,24040,"total",462887,"population","all households","persons","Gwangju","Buk-gu"
2010,24040,"male",225100,"population","all households","persons","Gwangju","Buk-gu"
2010,24040,"female",237787,"population","all households","persons","Gwangju","Buk-gu"
2010,24050,"total",358250,"population","all households","persons","Gwangju","Gwangsan-gu"
2010,24050,"male",177596,"population","all households","persons","Gwangju","Gwangsan-gu"
2010,24050,"female",180654,"population","all households","persons","Gwangju","Gwangsan-gu"
2010,25010,"total",239608,"population","all households","persons","Daejeon","Dong-gu"
2010,25010,"male",118725,"population","all households","persons","Daejeon","Dong-gu"
2010,25010,"female",120883,"population","all households","persons","Daejeon","Dong-gu"
2010,25020,"total",250455,"population","all households","persons","Daejeon","Jung-gu"
2010,25020,"male",121617,"population","all households","persons","Daejeon","Jung-gu"
2010,25020,"female",128838,"population","all households","persons","Daejeon","Jung-gu"
2010,25030,"total",491755,"population","all households","persons","Daejeon","Seo-gu"
2010,25030,"male",237966,"population","all households","persons","Daejeon","Seo-gu"
2010,25030,"female",253789,"population","all households","persons","Daejeon","Seo-gu"
2010,25040,"total",274172,"population","all households","persons","Daejeon","Yuseong-gu"
2010,25040,"male",138720,"population","all households","persons","Daejeon","Yuseong-gu"
2010,25040,"female",135452,"population","all households","persons","Daejeon","Yuseong-gu"
2010,25050,"total",199917,"population","all households","persons","Daejeon","Daedeok-gu"
2010,25050,"male",99638,"population","all households","persons","Daejeon","Daedeok-gu"
2010,25050,"female",100279,"population","all households","persons","Daejeon","Daedeok-gu"
2010,26010,"total",217650,"population","all households","persons","Ulsan","Jung-gu"
2010,26010,"male",109083,"population","all households","persons","Ulsan","Jung-gu"
2010,26010,"female",108567,"population","all households","persons","Ulsan","Jung-gu"
2010,26020,"total",328373,"population","all households","persons","Ulsan","Nam-gu"
2010,26020,"male",165059,"population","all households","persons","Ulsan","Nam-gu"
2010,26020,"female",163314,"population","all households","persons","Ulsan","Nam-gu"
2010,26030,"total",158414,"population","all households","persons","Ulsan","Dong-gu"
2010,26030,"male",81538,"population","all households","persons","Ulsan","Dong-gu"
2010,26030,"female",76876,"population","all households","persons","Ulsan","Dong-gu"
2010,26040,"total",165180,"population","all households","persons","Ulsan","Buk-gu"
2010,26040,"male",84151,"population","all households","persons","Ulsan","Buk-gu"
2010,26040,"female",81029,"population","all households","persons","Ulsan","Buk-gu"
2010,26310,"total",181594,"population","all households","persons","Ulsan","Ulju-gun"
2010,26310,"male",92042,"population","all households","persons","Ulsan","Ulju-gun"
2010,26310,"female",89552,"population","all households","persons","Ulsan","Ulju-gun"
2010,31010,"total",1042625,"population","all households","persons","Gyeonggi-do","Suwon-si"
2010,31010,"male",517336,"population","all households","persons","Gyeonggi-do","Suwon-si"
2010,31010,"female",525289,"population","all households","persons","Gyeonggi-do","Suwon-si"
2010,31011,"total",279282,"population","all households","persons","Gyeonggi-do","Jangan-gu"
2010,31011,"male",138142,"population","all households","persons","Gyeonggi-do","Jangan-gu"
2010,31011,"female",141140,"population","all households","persons","Gyeonggi-do","Jangan-gu"
2010,31012,"total",297719,"population","all households","persons","Gyeonggi-do","Gwonseon-gu"
2010,31012,"male",147540,"population","all households","persons","Gyeonggi-do","Gwonseon-gu"
2010,31012,"female",150179,"population","all households","persons","Gyeonggi-do","Gwonseon-gu"
2010,31013,"total",210782,"population","all households","persons","Gyeonggi-do","Paldal-gu"
2010,31013,"male",103422,"population","all households","persons","Gyeonggi-do","Paldal-gu"
2010,31013,"female",107360,"population","all households","persons","Gyeonggi-do","Paldal-gu"
2010,31014,"total",254842,"population","all households","persons","Gyeonggi-do","Yeongtong-gu"
2010,31014,"male",128232,"population","all households","persons","Gyeonggi-do","Yeongtong-gu"
2010,31014,"female",126610,"population","all households","persons","Gyeonggi-do","Yeongtong-gu"
2010,31020,"total",930913,"population","all households","persons","Gyeonggi-do","Seongnam-si"
2010,31020,"male",455881,"population","all households","persons","Gyeonggi-do","Seongnam-si"
2010,31020,"female",475032,"population","all households","persons","Gyeonggi-do","Seongnam-si"
2010,31021,"total",228360,"population","all households","persons","Gyeonggi-do","Sujeong-gu"
2010,31021,"male",113454,"population","all households","persons","Gyeonggi-do","Sujeong-gu"
2010,31021,"female",114906,"population","all households","persons","Gyeonggi-do","Sujeong-gu"
2010,31022,"total",246432,"population","all households","persons","Gyeonggi-do","Jungwon-gu"
2010,31022,"male",122765,"population","all households","persons","Gyeonggi-do","Jungwon-gu"
2010,31022,"female",123667,"population","all households","persons","Gyeonggi-do","Jungwon-gu"
2010,31023,"total",456121,"population","all households","persons","Gyeonggi-do","Bundang-gu"
2010,31023,"male",219662,"population","all households","persons","Gyeonggi-do","Bundang-gu"
2010,31023,"female",236459,"population","all households","persons","Gyeonggi-do","Bundang-gu"
2010,31030,"total",409328,"population","all households","persons","Gyeonggi-do","Uijeongbu-si"
2010,31030,"male",198799,"population","all households","persons","Gyeonggi-do","Uijeongbu-si"
2010,31030,"female",210529,"population","all households","persons","Gyeonggi-do","Uijeongbu-si"
2010,31040,"total",590246,"population","all households","persons","Gyeonggi-do","Anyang-si"
2010,31040,"male",288814,"population","all households","persons","Gyeonggi-do","Anyang-si"
2010,31040,"female",301432,"population","all households","persons","Gyeonggi-do","Anyang-si"
2010,31041,"total",251211,"population","all households","persons","Gyeonggi-do","Manan-gu"
2010,31041,"male",123655,"population","all households","persons","Gyeonggi-do","Manan-gu"
2010,31041,"female",127556,"population","all households","persons","Gyeonggi-do","Manan-gu"
2010,31042,"total",339035,"population","all households","persons","Gyeonggi-do","Dongan-gu"
2010,31042,"male",165159,"population","all households","persons","Gyeonggi-do","Dongan-gu"
2010,31042,"female",173876,"population","all households","persons","Gyeonggi-do","Dongan-gu"
2010,31050,"total",834759,"population","all households","persons","Gyeonggi-do","Bucheon-si"
2010,31050,"male",408895,"population","all households","persons","Gyeonggi-do","Bucheon-si"
2010,31050,"female",425864,"population","all households","persons","Gyeonggi-do","Bucheon-si"
2010,31051,"total",432378,"population","all households","persons","Gyeonggi-do","Wonmi-gu"
2010,31051,"male",210986,"population","all households","persons","Gyeonggi-do","Wonmi-gu"
2010,31051,"female",221392,"population","all households","persons","Gyeonggi-do","Wonmi-gu"
2010,31052,"total",216487,"population","all households","persons","Gyeonggi-do","Sosa-gu"
2010,31052,"male",105778,"population","all households","persons","Gyeonggi-do","Sosa-gu"
2010,31052,"female",110709,"population","all households","persons","Gyeonggi-do","Sosa-gu"
2010,31053,"total",185894,"population","all households","persons","Gyeonggi-do","Ojeong-gu"
2010,31053,"male",92131,"population","all households","persons","Gyeonggi-do","Ojeong-gu"
2010,31053,"female",93763,"population","all households","persons","Gyeonggi-do","Ojeong-gu"
2010,31060,"total",323864,"population","all households","persons","Gyeonggi-do","Gwangmyeong-si"
2010,31060,"male",157321,"population","all households","persons","Gyeonggi-do","Gwangmyeong-si"
2010,31060,"female",166543,"population","all households","persons","Gyeonggi-do","Gwangmyeong-si"
2010,31070,"total",377518,"population","all households","persons","Gyeonggi-do","Pyeongtaek-si"
2010,31070,"male",188721,"population","all households","persons","Gyeonggi-do","Pyeongtaek-si"
2010,31070,"female",188797,"population","all households","persons","Gyeonggi-do","Pyeongtaek-si"
2010,31080,"total",87726,"population","all households","persons","Gyeonggi-do","Dongducheon-si"
2010,31080,"male",42899,"population","all households","persons","Gyeonggi-do","Dongducheon-si"
2010,31080,"female",44827,"population","all households","persons","Gyeonggi-do","Dongducheon-si"
2010,31090,"total",694234,"population","all households","persons","Gyeonggi-do","Ansan-si"
2010,31090,"male",349346,"population","all households","persons","Gyeonggi-do","Ansan-si"
2010,31090,"female",344888,"population","all households","persons","Gyeonggi-do","Ansan-si"
2010,31091,"total",370035,"population","all households","persons","Gyeonggi-do","Sangnok-gu"
2010,31091,"male",185385,"population","all households","persons","Gyeonggi-do","Sangnok-gu"
2010,31091,"female",184650,"population","all households","persons","Gyeonggi-do","Sangnok-gu"
2010,31092,"total",324199,"population","all households","persons","Gyeonggi-do","Danwon-gu"
2010,31092,"male",163961,"population","all households","persons","Gyeonggi-do","Danwon-gu"
2010,31092,"female",160238,"population","all households","persons","Gyeonggi-do","Danwon-gu"
2010,31100,"total",886308,"population","all households","persons","Gyeonggi-do","Goyang-si"
2010,31100,"male",428423,"population","all households","persons","Gyeonggi-do","Goyang-si"
2010,31100,"female",457885,"population","all households","persons","Gyeonggi-do","Goyang-si"
2010,31101,"total",366705,"population","all households","persons","Gyeonggi-do","Deogyang-gu"
2010,31101,"male",179276,"population","all households","persons","Gyeonggi-do","Deogyang-gu"
2010,31101,"female",187429,"population","all households","persons","Gyeonggi-do","Deogyang-gu"
2010,31103,"total",251915,"population","all households","persons","Gyeonggi-do","Ilsandong-gu"
2010,31103,"male",120379,"population","all households","persons","Gyeonggi-do","Ilsandong-gu"
2010,31103,"female",131536,"population","all households","persons","Gyeonggi-do","Ilsandong-gu"
2010,31104,"total",267688,"population","all households","persons","Gyeonggi-do","Ilsanseo-gu"
2010,31104,"male",128768,"population","all households","persons","Gyeonggi-do","Ilsanseo-gu"
2010,31104,"female",138920,"population","all households","persons","Gyeonggi-do","Ilsanseo-gu"
2010,31110,"total",65513,"population","all households","persons","Gyeonggi-do","Gwacheon-si"
2010,31110,"male",31728,"population","all households","persons","Gyeonggi-do","Gwacheon-si"
2010,31110,"female",33785,"population","all households","persons","Gyeonggi-do","Gwacheon-si"
2010,31120,"total",182958,"population","all households","persons","Gyeonggi-do","Guri-si"
2010,31120,"male",88976,"population","all households","persons","Gyeonggi-do","Guri-si"
2010,31120,"female",93982,"population","all households","persons","Gyeonggi-do","Guri-si"
2010,31130,"total",520970,"population","all households","persons","Gyeonggi-do","Namyangju-si"
2010,31130,"male",255692,"population","all households","persons","Gyeonggi-do","Namyangju-si"
2010,31130,"female",265278,"population","all households","persons","Gyeonggi-do","Namyangju-si"
2010,31140,"total",181244,"population","all households","persons","Gyeonggi-do","Osan-si"
2010,31140,"male",91804,"population","all households","persons","Gyeonggi-do","Osan-si"
2010,31140,"female",89440,"population","all households","persons","Gyeonggi-do","Osan-si"
2010,31150,"total",392862,"population","all households","persons","Gyeonggi-do","Siheung-si"
2010,31150,"male",203297,"population","all households","persons","Gyeonggi-do","Siheung-si"
2010,31150,"female",189565,"population","all households","persons","Gyeonggi-do","Siheung-si"
2010,31160,"total",272079,"population","all households","persons","Gyeonggi-do","Gunpo-si"
2010,31160,"male",133642,"population","all households","persons","Gyeonggi-do","Gunpo-si"
2010,31160,"female",138437,"population","all households","persons","Gyeonggi-do","Gunpo-si"
2010,31170,"total",140318,"population","all households","persons","Gyeonggi-do","Uiwang-si"
2010,31170,"male",69149,"population","all households","persons","Gyeonggi-do","Uiwang-si"
2010,31170,"female",71169,"population","all households","persons","Gyeonggi-do","Uiwang-si"
2010,31180,"total",136096,"population","all households","persons","Gyeonggi-do","Hanam-si"
2010,31180,"male",67958,"population","all households","persons","Gyeonggi-do","Hanam-si"
2010,31180,"female",68138,"population","all households","persons","Gyeonggi-do","Hanam-si"
2010,31190,"total",820266,"population","all households","persons","Gyeonggi-do","Yongin-si"
2010,31190,"male",403223,"population","all households","persons","Gyeonggi-do","Yongin-si"
2010,31190,"female",417043,"population","all households","persons","Gyeonggi-do","Yongin-si"
2010,31191,"total",185842,"population","all households","persons","Gyeonggi-do","Cheoin-gu"
2010,31191,"male",93394,"population","all households","persons","Gyeonggi-do","Cheoin-gu"
2010,31191,"female",92448,"population","all households","persons","Gyeonggi-do","Cheoin-gu"
2010,31192,"total",341078,"population","all households","persons","Gyeonggi-do","Giheung-gu"
2010,31192,"male",167011,"population","all households","persons","Gyeonggi-do","Giheung-gu"
2010,31192,"female",174067,"population","all households","persons","Gyeonggi-do","Giheung-gu"
2010,31193,"total",293346,"population","all households","persons","Gyeonggi-do","Suji-gu"
2010,31193,"male",142818,"population","all households","persons","Gyeonggi-do","Suji-gu"
2010,31193,"female",150528,"population","all households","persons","Gyeonggi-do","Suji-gu"
2010,31200,"total",310956,"population","all households","persons","Gyeonggi-do","Paju-si"
2010,31200,"male",154889,"population","all households","persons","Gyeonggi-do","Paju-si"
2010,31200,"female",156067,"population","all households","persons","Gyeonggi-do","Paju-si"
2010,31210,"total",182286,"population","all households","persons","Gyeonggi-do","Icheon-si"
2010,31210,"male",89975,"population","all households","persons","Gyeonggi-do","Icheon-si"
2010,31210,"female",92311,"population","all households","persons","Gyeonggi-do","Icheon-si"
2010,31220,"total",170937,"population","all households","persons","Gyeonggi-do","Anseong-si"
2010,31220,"male",86529,"population","all households","persons","Gyeonggi-do","Anseong-si"
2010,31220,"female",84408,"population","all households","persons","Gyeonggi-do","Anseong-si"
2010,31230,"total",214412,"population","all households","persons","Gyeonggi-do","Gimpo-si"
2010,31230,"male",106645,"population","all households","persons","Gyeonggi-do","Gimpo-si"
2010,31230,"female",107767,"population","all households","persons","Gyeonggi-do","Gimpo-si"
2010,31240,"total",470971,"population","all households","persons","Gyeonggi-do","Hwaseong-si"
2010,31240,"male",239898,"population","all households","persons","Gyeonggi-do","Hwaseong-si"
2010,31240,"female",231073,"population","all households","persons","Gyeonggi-do","Hwaseong-si"
2010,31250,"total",219826,"population","all households","persons","Gyeonggi-do","Gwangju-si"
2010,31250,"male",110108,"population","all households","persons","Gyeonggi-do","Gwangju-si"
2010,31250,"female",109718,"population","all households","persons","Gyeonggi-do","Gwangju-si"
2010,31260,"total",180316,"population","all households","persons","Gyeonggi-do","Yangju-si"
2010,31260,"male",89651,"population","all households","persons","Gyeonggi-do","Yangju-si"
2010,31260,"female",90665,"population","all households","persons","Gyeonggi-do","Yangju-si"
2010,31270,"total",131285,"population","all households","persons","Gyeonggi-do","Pocheon-si"
2010,31270,"male",65574,"population","all households","persons","Gyeonggi-do","Pocheon-si"
2010,31270,"female",65711,"population","all households","persons","Gyeonggi-do","Pocheon-si"
2010,31320,"total",95899,"population","all households","persons","Gyeonggi-do","Yeoju-gun"
2010,31320,"male",47114,"population","all households","persons","Gyeonggi-do","Yeoju-gun"
2010,31320,"female",48785,"population","all households","persons","Gyeonggi-do","Yeoju-gun"
2010,31350,"total",39442,"population","all households","persons","Gyeonggi-do","Yeoncheon-gun"
2010,31350,"male",19538,"population","all households","persons","Gyeonggi-do","Yeoncheon-gun"
2010,31350,"female",19904,"population","all households","persons","Gyeonggi-do","Yeoncheon-gun"
2010,31370,"total",46370,"population","all households","persons","Gyeonggi-do","Gapyeong-gun"
2010,31370,"male",22815,"population","all households","persons","Gyeonggi-do","Gapyeong-gun"
2010,31370,"female",23555,"population","all households","persons","Gyeonggi-do","Gapyeong-gun"
