"sggcd","type","class1","class2","unit","value","year"
"110009","medicine","doctors","emergency medicine","persons",1,2010
"110009","medicine","doctors","occupational and environmental medicine","persons",1,2010
"110009","medicine","doctors","preventive medicine","persons",2,2010
"110010","medicine","doctors","total","persons",845,2010
"110010","medicine","doctors","internal medicine","persons",189,2010
"110010","medicine","doctors","neurology","persons",19,2010
"110010","medicine","doctors","psychiatry","persons",19,2010
"110010","medicine","doctors","surgery","persons",75,2010
"110010","medicine","doctors","orthopedics","persons",33,2010
"110010","medicine","doctors","neurosurgery","persons",28,2010
"110010","medicine","doctors","thoracic and cardiovascular surgery","persons",19,2010
"110010","medicine","doctors","plastic surgery","persons",18,2010
"110010","medicine","doctors","anesthesiology and pain medicine","persons",53,2010
"110010","medicine","doctors","obstetrics and gynecology","persons",47,2010
"110010","medicine","doctors","pediatrics","persons",55,2010
"110010","medicine","doctors","ophthalmology","persons",37,2010
"110010","medicine","doctors","otorhinolaryngology","persons",35,2010
"110010","medicine","doctors","dermatology","persons",30,2010
"110010","medicine","doctors","urology","persons",28,2010
"110010","medicine","doctors","radiology","persons",55,2010
"110010","medicine","doctors","radiation oncology","persons",7,2010
"110010","medicine","doctors","pathology","persons",11,2010
"110010","medicine","doctors","clinical laboratory medicine","persons",13,2010
"110010","medicine","doctors","tuberculosis","persons",1,2010
"110010","medicine","doctors","rehabilitation medicine","persons",15,2010
"110010","medicine","doctors","nuclear medicine","persons",3,2010
"110010","medicine","doctors","family medicine","persons",39,2010
"110010","medicine","doctors","emergency medicine","persons",7,2010
"110010","medicine","doctors","occupational and environmental medicine","persons",0,2010
"110010","medicine","doctors","preventive medicine","persons",9,2010
"110011","medicine","doctors","total","persons",395,2010
"110011","medicine","doctors","internal medicine","persons",82,2010
"110011","medicine","doctors","neurology","persons",9,2010
"110011","medicine","doctors","psychiatry","persons",10,2010
"110011","medicine","doctors","surgery","persons",22,2010
"110011","medicine","doctors","orthopedics","persons",34,2010
"110011","medicine","doctors","neurosurgery","persons",10,2010
"110011","medicine","doctors","thoracic and cardiovascular surgery","persons",8,2010
"110011","medicine","doctors","plastic surgery","persons",6,2010
"110011","medicine","doctors","anesthesiology and pain medicine","persons",19,2010
"110011","medicine","doctors","obstetrics and gynecology","persons",30,2010
"110011","medicine","doctors","pediatrics","persons",33,2010
"110011","medicine","doctors","ophthalmology","persons",13,2010
"110011","medicine","doctors","otorhinolaryngology","persons",24,2010
"110011","medicine","doctors","dermatology","persons",9,2010
"110011","medicine","doctors","urology","persons",11,2010
"110011","medicine","doctors","radiology","persons",19,2010
"110011","medicine","doctors","radiation oncology","persons",2,2010
"110011","medicine","doctors","pathology","persons",6,2010
"110011","medicine","doctors","clinical laboratory medicine","persons",7,2010
"110011","medicine","doctors","tuberculosis","persons",1,2010
"110011","medicine","doctors","rehabilitation medicine","persons",8,2010
"110011","medicine","doctors","nuclear medicine","persons",1,2010
"110011","medicine","doctors","family medicine","persons",26,2010
"110011","medicine","doctors","emergency medicine","persons",3,2010
"110011","medicine","doctors","occupational and environmental medicine","persons",1,2010
"110011","medicine","doctors","preventive medicine","persons",1,2010
"110012","medicine","doctors","total","persons",557,2010
"110012","medicine","doctors","internal medicine","persons",107,2010
"110012","medicine","doctors","neurology","persons",8,2010
"110012","medicine","doctors","psychiatry","persons",16,2010
"110012","medicine","doctors","surgery","persons",44,2010
"110012","medicine","doctors","orthopedics","persons",44,2010
"110012","medicine","doctors","neurosurgery","persons",20,2010
"110012","medicine","doctors","thoracic and cardiovascular surgery","persons",10,2010
"110012","medicine","doctors","plastic surgery","persons",11,2010
"110012","medicine","doctors","anesthesiology and pain medicine","persons",26,2010
"110012","medicine","doctors","obstetrics and gynecology","persons",43,2010
"110012","medicine","doctors","pediatrics","persons",43,2010
"110012","medicine","doctors","ophthalmology","persons",21,2010
"110012","medicine","doctors","otorhinolaryngology","persons",30,2010
"110012","medicine","doctors","dermatology","persons",16,2010
"110012","medicine","doctors","urology","persons",10,2010
"110012","medicine","doctors","radiology","persons",22,2010
"110012","medicine","doctors","radiation oncology","persons",4,2010
"110012","medicine","doctors","pathology","persons",6,2010
"110012","medicine","doctors","clinical laboratory medicine","persons",7,2010
"110012","medicine","doctors","tuberculosis","persons",1,2010
"110012","medicine","doctors","rehabilitation medicine","persons",10,2010
"110012","medicine","doctors","nuclear medicine","persons",2,2010
"110012","medicine","doctors","family medicine","persons",52,2010
"110012","medicine","doctors","emergency medicine","persons",3,2010
"110012","medicine","doctors","occupational and environmental medicine","persons",0,2010
"110012","medicine","doctors","preventive medicine","persons",1,2010
"110013","medicine","doctors","total","persons",903,2010
"110013","medicine","doctors","internal medicine","persons",168,2010
"110013","medicine","doctors","neurology","persons",19,2010
"110013","medicine","doctors","psychiatry","persons",19,2010
"110013","medicine","doctors","surgery","persons",63,2010
"110013","medicine","doctors","orthopedics","persons",58,2010
"110013","medicine","doctors","neurosurgery","persons",31,2010
"110013","medicine","doctors","thoracic and cardiovascular surgery","persons",10,2010
"110013","medicine","doctors","plastic surgery","persons",21,2010
"110013","medicine","doctors","anesthesiology and pain medicine","persons",45,2010
"110013","medicine","doctors","obstetrics and gynecology","persons",64,2010
"110013","medicine","doctors","pediatrics","persons",52,2010
"110013","medicine","doctors","ophthalmology","persons",71,2010
"110013","medicine","doctors","otorhinolaryngology","persons",45,2010
"110013","medicine","doctors","dermatology","persons",28,2010
"110013","medicine","doctors","urology","persons",25,2010
"110013","medicine","doctors","radiology","persons",54,2010
"110013","medicine","doctors","radiation oncology","persons",3,2010
"110013","medicine","doctors","pathology","persons",11,2010
"110013","medicine","doctors","clinical laboratory medicine","persons",10,2010
"110013","medicine","doctors","tuberculosis","persons",1,2010
"110013","medicine","doctors","rehabilitation medicine","persons",19,2010
"110013","medicine","doctors","nuclear medicine","persons",2,2010
"110013","medicine","doctors","family medicine","persons",63,2010
"110013","medicine","doctors","emergency medicine","persons",11,2010
"110013","medicine","doctors","occupational and environmental medicine","persons",7,2010
"110013","medicine","doctors","preventive medicine","persons",3,2010
"110014","medicine","doctors","total","persons",377,2010
"110014","medicine","doctors","internal medicine","persons",90,2010
"110014","medicine","doctors","neurology","persons",4,2010
"110014","medicine","doctors","psychiatry","persons",8,2010
"110014","medicine","doctors","surgery","persons",28,2010
"110014","medicine","doctors","orthopedics","persons",21,2010
"110014","medicine","doctors","neurosurgery","persons",13,2010
"110014","medicine","doctors","thoracic and cardiovascular surgery","persons",4,2010
"110014","medicine","doctors","plastic surgery","persons",6,2010
"110014","medicine","doctors","anesthesiology and pain medicine","persons",14,2010
"110014","medicine","doctors","obstetrics and gynecology","persons",20,2010
"110014","medicine","doctors","pediatrics","persons",31,2010
"110014","medicine","doctors","ophthalmology","persons",14,2010
"110014","medicine","doctors","otorhinolaryngology","persons",16,2010
