"year","adm2_code","type","unit","class1","class2","value","adm1","adm2"
2010,11250,"mortality","per 100k population","All causes","male",506.7,"Seoul","Gangdong-gu"
2010,11250,"mortality","per 100k population","All causes","female",254.1,"Seoul","Gangdong-gu"
2010,21010,"mortality","per 100k population","All causes","total",481.9,"Busan","Jung-gu"
2010,21010,"mortality","per 100k population","All causes","male",656,"Busan","Jung-gu"
2010,21010,"mortality","per 100k population","All causes","female",339,"Busan","Jung-gu"
2010,21020,"mortality","per 100k population","All causes","total",441,"Busan","Seo-gu"
2010,21020,"mortality","per 100k population","All causes","male",640.1,"Busan","Seo-gu"
2010,21020,"mortality","per 100k population","All causes","female",302,"Busan","Seo-gu"
2010,21030,"mortality","per 100k population","All causes","total",532.7,"Busan","Dong-gu"
2010,21030,"mortality","per 100k population","All causes","male",772,"Busan","Dong-gu"
2010,21030,"mortality","per 100k population","All causes","female",340.8,"Busan","Dong-gu"
2010,21040,"mortality","per 100k population","All causes","total",528.1,"Busan","Yeongdo-gu"
2010,21040,"mortality","per 100k population","All causes","male",754.4,"Busan","Yeongdo-gu"
2010,21040,"mortality","per 100k population","All causes","female",358,"Busan","Yeongdo-gu"
2010,21050,"mortality","per 100k population","All causes","total",467.7,"Busan","Busanjin-gu"
2010,21050,"mortality","per 100k population","All causes","male",652.2,"Busan","Busanjin-gu"
2010,21050,"mortality","per 100k population","All causes","female",326.9,"Busan","Busanjin-gu"
2010,21060,"mortality","per 100k population","All causes","total",415.5,"Busan","Dongnae-gu"
2010,21060,"mortality","per 100k population","All causes","male",566.6,"Busan","Dongnae-gu"
2010,21060,"mortality","per 100k population","All causes","female",298.9,"Busan","Dongnae-gu"
2010,21070,"mortality","per 100k population","All causes","total",440.6,"Busan","Nam-gu"
2010,21070,"mortality","per 100k population","All causes","male",597.9,"Busan","Nam-gu"
2010,21070,"mortality","per 100k population","All causes","female",326.4,"Busan","Nam-gu"
2010,21080,"mortality","per 100k population","All causes","total",451.3,"Busan","Buk-gu"
2010,21080,"mortality","per 100k population","All causes","male",616.2,"Busan","Buk-gu"
2010,21080,"mortality","per 100k population","All causes","female",340.9,"Busan","Buk-gu"
2010,21090,"mortality","per 100k population","All causes","total",418.7,"Busan","Haeundae-gu"
2010,21090,"mortality","per 100k population","All causes","male",562.1,"Busan","Haeundae-gu"
2010,21090,"mortality","per 100k population","All causes","female",314.2,"Busan","Haeundae-gu"
2010,21100,"mortality","per 100k population","All causes","total",467.7,"Busan","Saha-gu"
2010,21100,"mortality","per 100k population","All causes","male",656.9,"Busan","Saha-gu"
2010,21100,"mortality","per 100k population","All causes","female",330.1,"Busan","Saha-gu"
2010,21110,"mortality","per 100k population","All causes","total",454.6,"Busan","Geumjeong-gu"
2010,21110,"mortality","per 100k population","All causes","male",628.8,"Busan","Geumjeong-gu"
2010,21110,"mortality","per 100k population","All causes","female",328.7,"Busan","Geumjeong-gu"
2010,21120,"mortality","per 100k population","All causes","total",486.7,"Busan","Gangseo-gu"
2010,21120,"mortality","per 100k population","All causes","male",710.7,"Busan","Gangseo-gu"
2010,21120,"mortality","per 100k population","All causes","female",306.7,"Busan","Gangseo-gu"
2010,21130,"mortality","per 100k population","All causes","total",426.7,"Busan","Yeonjae-gu"
2010,21130,"mortality","per 100k population","All causes","male",571.8,"Busan","Yeonjae-gu"
2010,21130,"mortality","per 100k population","All causes","female",320,"Busan","Yeonjae-gu"
2010,21140,"mortality","per 100k population","All causes","total",423.3,"Busan","Suyeong-gu"
2010,21140,"mortality","per 100k population","All causes","male",556.5,"Busan","Suyeong-gu"
2010,21140,"mortality","per 100k population","All causes","female",314.1,"Busan","Suyeong-gu"
2010,21150,"mortality","per 100k population","All causes","total",515.4,"Busan","Sasang-gu"
2010,21150,"mortality","per 100k population","All causes","male",688.6,"Busan","Sasang-gu"
2010,21150,"mortality","per 100k population","All causes","female",386,"Busan","Sasang-gu"
2010,21310,"mortality","per 100k population","All causes","total",459.9,"Busan","Gijang-gun"
2010,21310,"mortality","per 100k population","All causes","male",644.3,"Busan","Gijang-gun"
2010,21310,"mortality","per 100k population","All causes","female",330.8,"Busan","Gijang-gun"
2010,22010,"mortality","per 100k population","All causes","total",441.2,"Daegu","Jung-gu"
2010,22010,"mortality","per 100k population","All causes","male",653,"Daegu","Jung-gu"
2010,22010,"mortality","per 100k population","All causes","female",290.9,"Daegu","Jung-gu"
2010,22020,"mortality","per 100k population","All causes","total",444.5,"Daegu","Dong-gu"
2010,22020,"mortality","per 100k population","All causes","male",613.1,"Daegu","Dong-gu"
2010,22020,"mortality","per 100k population","All causes","female",314.4,"Daegu","Dong-gu"
2010,22030,"mortality","per 100k population","All causes","total",504.6,"Daegu","Seo-gu"
2010,22030,"mortality","per 100k population","All causes","male",721.8,"Daegu","Seo-gu"
2010,22030,"mortality","per 100k population","All causes","female",341.3,"Daegu","Seo-gu"
2010,22040,"mortality","per 100k population","All causes","total",421.7,"Daegu","Nam-gu"
2010,22040,"mortality","per 100k population","All causes","male",616.6,"Daegu","Nam-gu"
2010,22040,"mortality","per 100k population","All causes","female",272.2,"Daegu","Nam-gu"
2010,22050,"mortality","per 100k population","All causes","total",437.3,"Daegu","Buk-gu"
2010,22050,"mortality","per 100k population","All causes","male",595.8,"Daegu","Buk-gu"
2010,22050,"mortality","per 100k population","All causes","female",328.4,"Daegu","Buk-gu"
2010,22060,"mortality","per 100k population","All causes","total",368,"Daegu","Suseong-gu"
2010,22060,"mortality","per 100k population","All causes","male",510,"Daegu","Suseong-gu"
2010,22060,"mortality","per 100k population","All causes","female",269.2,"Daegu","Suseong-gu"
2010,22070,"mortality","per 100k population","All causes","total",428.7,"Daegu","Dalseo-gu"
2010,22070,"mortality","per 100k population","All causes","male",603.3,"Daegu","Dalseo-gu"
2010,22070,"mortality","per 100k population","All causes","female",301.3,"Daegu","Dalseo-gu"
2010,22310,"mortality","per 100k population","All causes","total",480.3,"Daegu","Dalseong-gun"
2010,22310,"mortality","per 100k population","All causes","male",681.1,"Daegu","Dalseong-gun"
2010,22310,"mortality","per 100k population","All causes","female",330.7,"Daegu","Dalseong-gun"
2010,23010,"mortality","per 100k population","All causes","total",477.9,"Incheon","Jung-gu"
2010,23010,"mortality","per 100k population","All causes","male",622.4,"Incheon","Jung-gu"
2010,23010,"mortality","per 100k population","All causes","female",355.8,"Incheon","Jung-gu"
2010,23020,"mortality","per 100k population","All causes","total",457.3,"Incheon","Dong-gu"
2010,23020,"mortality","per 100k population","All causes","male",642.5,"Incheon","Dong-gu"
2010,23020,"mortality","per 100k population","All causes","female",313.8,"Incheon","Dong-gu"
2010,23030,"mortality","per 100k population","All causes","total",426.1,"Incheon","Nam-gu"
2010,23030,"mortality","per 100k population","All causes","male",602.3,"Incheon","Nam-gu"
2010,23030,"mortality","per 100k population","All causes","female",288.4,"Incheon","Nam-gu"
2010,23040,"mortality","per 100k population","All causes","total",401.8,"Incheon","Yeonsu-gu"
2010,23040,"mortality","per 100k population","All causes","male",548.4,"Incheon","Yeonsu-gu"
2010,23040,"mortality","per 100k population","All causes","female",305.1,"Incheon","Yeonsu-gu"
2010,23050,"mortality","per 100k population","All causes","total",419.1,"Incheon","Namdong-gu"
2010,23050,"mortality","per 100k population","All causes","male",587.8,"Incheon","Namdong-gu"
2010,23050,"mortality","per 100k population","All causes","female",299.2,"Incheon","Namdong-gu"
2010,23060,"mortality","per 100k population","All causes","total",420.4,"Incheon","Bupyeong-gu"
2010,23060,"mortality","per 100k population","All causes","male",580,"Incheon","Bupyeong-gu"
2010,23060,"mortality","per 100k population","All causes","female",303.3,"Incheon","Bupyeong-gu"
2010,23070,"mortality","per 100k population","All causes","total",422.6,"Incheon","Gyeyang-gu"
2010,23070,"mortality","per 100k population","All causes","male",567.3,"Incheon","Gyeyang-gu"
2010,23070,"mortality","per 100k population","All causes","female",317.1,"Incheon","Gyeyang-gu"
2010,23080,"mortality","per 100k population","All causes","total",429.9,"Incheon","Seo-gu"
2010,23080,"mortality","per 100k population","All causes","male",582.1,"Incheon","Seo-gu"
2010,23080,"mortality","per 100k population","All causes","female",312.4,"Incheon","Seo-gu"
2010,23310,"mortality","per 100k population","All causes","total",463.6,"Incheon","Ganghwa-gun"
2010,23310,"mortality","per 100k population","All causes","male",644,"Incheon","Ganghwa-gun"
2010,23310,"mortality","per 100k population","All causes","female",309.5,"Incheon","Ganghwa-gun"
2010,23320,"mortality","per 100k population","All causes","total",391.4,"Incheon","Ongjin-gun"
2010,23320,"mortality","per 100k population","All causes","male",564.4,"Incheon","Ongjin-gun"
2010,23320,"mortality","per 100k population","All causes","female",251.5,"Incheon","Ongjin-gun"
2010,24010,"mortality","per 100k population","All causes","total",438.2,"Gwangju","Dong-gu"
2010,24010,"mortality","per 100k population","All causes","male",595.4,"Gwangju","Dong-gu"
2010,24010,"mortality","per 100k population","All causes","female",313.3,"Gwangju","Dong-gu"
2010,24020,"mortality","per 100k population","All causes","total",403.3,"Gwangju","Seo-gu"
2010,24020,"mortality","per 100k population","All causes","male",592,"Gwangju","Seo-gu"
2010,24020,"mortality","per 100k population","All causes","female",281.1,"Gwangju","Seo-gu"
2010,24030,"mortality","per 100k population","All causes","total",434.6,"Gwangju","Nam-gu"
2010,24030,"mortality","per 100k population","All causes","male",606.2,"Gwangju","Nam-gu"
2010,24030,"mortality","per 100k population","All causes","female",303.8,"Gwangju","Nam-gu"
2010,24040,"mortality","per 100k population","All causes","total",422.5,"Gwangju","Buk-gu"
2010,24040,"mortality","per 100k population","All causes","male",565.9,"Gwangju","Buk-gu"
2010,24040,"mortality","per 100k population","All causes","female",323.3,"Gwangju","Buk-gu"
2010,24050,"mortality","per 100k population","All causes","total",461.9,"Gwangju","Gwangsan-gu"
2010,24050,"mortality","per 100k population","All causes","male",680.8,"Gwangju","Gwangsan-gu"
2010,24050,"mortality","per 100k population","All causes","female",315,"Gwangju","Gwangsan-gu"
2010,25010,"mortality","per 100k population","All causes","total",453.7,"Daejeon","Dong-gu"
2010,25010,"mortality","per 100k population","All causes","male",638.8,"Daejeon","Dong-gu"
2010,25010,"mortality","per 100k population","All causes","female",306.5,"Daejeon","Dong-gu"
2010,25020,"mortality","per 100k population","All causes","total",423.9,"Daejeon","Jung-gu"
2010,25020,"mortality","per 100k population","All causes","male",589.2,"Daejeon","Jung-gu"
2010,25020,"mortality","per 100k population","All causes","female",286.7,"Daejeon","Jung-gu"
2010,25030,"mortality","per 100k population","All causes","total",371.1,"Daejeon","Seo-gu"
2010,25030,"mortality","per 100k population","All causes","male",507.1,"Daejeon","Seo-gu"
2010,25030,"mortality","per 100k population","All causes","female",281.7,"Daejeon","Seo-gu"
2010,25040,"mortality","per 100k population","All causes","total",390.5,"Daejeon","Yuseong-gu"
2010,25040,"mortality","per 100k population","All causes","male",541.6,"Daejeon","Yuseong-gu"
2010,25040,"mortality","per 100k population","All causes","female",288.4,"Daejeon","Yuseong-gu"
2010,25050,"mortality","per 100k population","All causes","total",419.6,"Daejeon","Daedeok-gu"
2010,25050,"mortality","per 100k population","All causes","male",609.8,"Daejeon","Daedeok-gu"
2010,25050,"mortality","per 100k population","All causes","female",278.7,"Daejeon","Daedeok-gu"
2010,26010,"mortality","per 100k population","All causes","total",460.2,"Ulsan","Jung-gu"
2010,26010,"mortality","per 100k population","All causes","male",592.6,"Ulsan","Jung-gu"
2010,26010,"mortality","per 100k population","All causes","female",349.5,"Ulsan","Jung-gu"
2010,26020,"mortality","per 100k population","All causes","total",447.2,"Ulsan","Nam-gu"
2010,26020,"mortality","per 100k population","All causes","male",621.6,"Ulsan","Nam-gu"
2010,26020,"mortality","per 100k population","All causes","female",333.7,"Ulsan","Nam-gu"
2010,26030,"mortality","per 100k population","All causes","total",461.2,"Ulsan","Dong-gu"
2010,26030,"mortality","per 100k population","All causes","male",650.4,"Ulsan","Dong-gu"
2010,26030,"mortality","per 100k population","All causes","female",339.4,"Ulsan","Dong-gu"
2010,26040,"mortality","per 100k population","All causes","total",459.4,"Ulsan","Buk-gu"
2010,26040,"mortality","per 100k population","All causes","male",698.9,"Ulsan","Buk-gu"
2010,26040,"mortality","per 100k population","All causes","female",315.3,"Ulsan","Buk-gu"
2010,26310,"mortality","per 100k population","All causes","total",432.8,"Ulsan","Ulju-gun"
2010,26310,"mortality","per 100k population","All causes","male",619.4,"Ulsan","Ulju-gun"
2010,26310,"mortality","per 100k population","All causes","female",298.5,"Ulsan","Ulju-gun"
2010,31010,"mortality","per 100k population","All causes","total",427.8,"Gyeonggi-do","Suwon-si"
2010,31010,"mortality","per 100k population","All causes","male",581.8,"Gyeonggi-do","Suwon-si"
2010,31010,"mortality","per 100k population","All causes","female",318.9,"Gyeonggi-do","Suwon-si"
2010,31011,"mortality","per 100k population","All causes","total",417.8,"Gyeonggi-do","Jangan-gu"
2010,31011,"mortality","per 100k population","All causes","male",567.1,"Gyeonggi-do","Jangan-gu"
2010,31011,"mortality","per 100k population","All causes","female",306.6,"Gyeonggi-do","Jangan-gu"
2010,31012,"mortality","per 100k population","All causes","total",444.8,"Gyeonggi-do","Gwonseon-gu"
2010,31012,"mortality","per 100k population","All causes","male",594.3,"Gyeonggi-do","Gwonseon-gu"
2010,31012,"mortality","per 100k population","All causes","female",343.3,"Gyeonggi-do","Gwonseon-gu"
2010,31013,"mortality","per 100k population","All causes","total",454,"Gyeonggi-do","Paldal-gu"
2010,31013,"mortality","per 100k population","All causes","male",628.3,"Gyeonggi-do","Paldal-gu"
2010,31013,"mortality","per 100k population","All causes","female",323.6,"Gyeonggi-do","Paldal-gu"
2010,31014,"mortality","per 100k population","All causes","total",397.7,"Gyeonggi-do","Yeongtong-gu"
2010,31014,"mortality","per 100k population","All causes","male",552.6,"Gyeonggi-do","Yeongtong-gu"
2010,31014,"mortality","per 100k population","All causes","female",305.3,"Gyeonggi-do","Yeongtong-gu"
2010,31020,"mortality","per 100k population","All causes","total",360.7,"Gyeonggi-do","Seongnam-si"
2010,31020,"mortality","per 100k population","All causes","male",489.4,"Gyeonggi-do","Seongnam-si"
2010,31020,"mortality","per 100k population","All causes","female",260,"Gyeonggi-do","Seongnam-si"
2010,31021,"mortality","per 100k population","All causes","total",421.8,"Gyeonggi-do","Sujeong-gu"
2010,31021,"mortality","per 100k population","All causes","male",617.2,"Gyeonggi-do","Sujeong-gu"
2010,31021,"mortality","per 100k population","All causes","female",272.1,"Gyeonggi-do","Sujeong-gu"
2010,31022,"mortality","per 100k population","All causes","total",420.9,"Gyeonggi-do","Jungwon-gu"
2010,31022,"mortality","per 100k population","All causes","male",574.5,"Gyeonggi-do","Jungwon-gu"
2010,31022,"mortality","per 100k population","All causes","female",299.1,"Gyeonggi-do","Jungwon-gu"
2010,31023,"mortality","per 100k population","All causes","total",295.2,"Gyeonggi-do","Bundang-gu"
2010,31023,"mortality","per 100k population","All causes","male",379.5,"Gyeonggi-do","Bundang-gu"
2010,31023,"mortality","per 100k population","All causes","female",233.2,"Gyeonggi-do","Bundang-gu"
2010,31030,"mortality","per 100k population","All causes","total",417.3,"Gyeonggi-do","Uijeongbu-si"
2010,31030,"mortality","per 100k population","All causes","male",556.4,"Gyeonggi-do","Uijeongbu-si"
2010,31030,"mortality","per 100k population","All causes","female",312,"Gyeonggi-do","Uijeongbu-si"
2010,31040,"mortality","per 100k population","All causes","total",353,"Gyeonggi-do","Anyang-si"
2010,31040,"mortality","per 100k population","All causes","male",470.2,"Gyeonggi-do","Anyang-si"
2010,31040,"mortality","per 100k population","All causes","female",260.6,"Gyeonggi-do","Anyang-si"
2010,31041,"mortality","per 100k population","All causes","total",381.9,"Gyeonggi-do","Manan-gu"
2010,31041,"mortality","per 100k population","All causes","male",502.1,"Gyeonggi-do","Manan-gu"
2010,31041,"mortality","per 100k population","All causes","female",282.9,"Gyeonggi-do","Manan-gu"
2010,31042,"mortality","per 100k population","All causes","total",329.2,"Gyeonggi-do","Dongan-gu"
2010,31042,"mortality","per 100k population","All causes","male",442.9,"Gyeonggi-do","Dongan-gu"
2010,31042,"mortality","per 100k population","All causes","female",242.7,"Gyeonggi-do","Dongan-gu"
2010,31050,"mortality","per 100k population","All causes","total",391,"Gyeonggi-do","Bucheon-si"
2010,31050,"mortality","per 100k population","All causes","male",559.8,"Gyeonggi-do","Bucheon-si"
2010,31050,"mortality","per 100k population","All causes","female",268.5,"Gyeonggi-do","Bucheon-si"
2010,31051,"mortality","per 100k population","All causes","total",386.5,"Gyeonggi-do","Wonmi-gu"
2010,31051,"mortality","per 100k population","All causes","male",569.5,"Gyeonggi-do","Wonmi-gu"
2010,31051,"mortality","per 100k population","All causes","female",261.9,"Gyeonggi-do","Wonmi-gu"
2010,31052,"mortality","per 100k population","All causes","total",371.5,"Gyeonggi-do","Sosa-gu"
2010,31052,"mortality","per 100k population","All causes","male",518.5,"Gyeonggi-do","Sosa-gu"
2010,31052,"mortality","per 100k population","All causes","female",255.2,"Gyeonggi-do","Sosa-gu"
2010,31053,"mortality","per 100k population","All causes","total",427.9,"Gyeonggi-do","Ojeong-gu"
2010,31053,"mortality","per 100k population","All causes","male",597.8,"Gyeonggi-do","Ojeong-gu"
2010,31053,"mortality","per 100k population","All causes","female",301.6,"Gyeonggi-do","Ojeong-gu"
2010,31060,"mortality","per 100k population","All causes","total",402,"Gyeonggi-do","Gwangmyeong-si"
2010,31060,"mortality","per 100k population","All causes","male",571.8,"Gyeonggi-do","Gwangmyeong-si"
2010,31060,"mortality","per 100k population","All causes","female",283.3,"Gyeonggi-do","Gwangmyeong-si"
2010,31070,"mortality","per 100k population","All causes","total",433.7,"Gyeonggi-do","Pyeongtaek-si"
2010,31070,"mortality","per 100k population","All causes","male",580.9,"Gyeonggi-do","Pyeongtaek-si"
2010,31070,"mortality","per 100k population","All causes","female",313.8,"Gyeonggi-do","Pyeongtaek-si"
2010,31080,"mortality","per 100k population","All causes","total",469.6,"Gyeonggi-do","Dongducheon-si"
2010,31080,"mortality","per 100k population","All causes","male",627,"Gyeonggi-do","Dongducheon-si"
2010,31080,"mortality","per 100k population","All causes","female",335.7,"Gyeonggi-do","Dongducheon-si"
2010,31090,"mortality","per 100k population","All causes","total",408.8,"Gyeonggi-do","Ansan-si"
2010,31090,"mortality","per 100k population","All causes","male",546.7,"Gyeonggi-do","Ansan-si"
2010,31090,"mortality","per 100k population","All causes","female",305.1,"Gyeonggi-do","Ansan-si"
2010,31091,"mortality","per 100k population","All causes","total",381,"Gyeonggi-do","Sangnok-gu"
2010,31091,"mortality","per 100k population","All causes","male",520.3,"Gyeonggi-do","Sangnok-gu"
2010,31091,"mortality","per 100k population","All causes","female",279.8,"Gyeonggi-do","Sangnok-gu"
2010,31092,"mortality","per 100k population","All causes","total",442.2,"Gyeonggi-do","Danwon-gu"
2010,31092,"mortality","per 100k population","All causes","male",577.3,"Gyeonggi-do","Danwon-gu"
2010,31092,"mortality","per 100k population","All causes","female",335.6,"Gyeonggi-do","Danwon-gu"
2010,31100,"mortality","per 100k population","All causes","total",370.4,"Gyeonggi-do","Goyang-si"
2010,31100,"mortality","per 100k population","All causes","male",498.3,"Gyeonggi-do","Goyang-si"
2010,31100,"mortality","per 100k population","All causes","female",273.7,"Gyeonggi-do","Goyang-si"
2010,31101,"mortality","per 100k population","All causes","total",396.2,"Gyeonggi-do","Deokyang-gu"
2010,31101,"mortality","per 100k population","All causes","male",525.2,"Gyeonggi-do","Deokyang-gu"
2010,31101,"mortality","per 100k population","All causes","female",291.8,"Gyeonggi-do","Deokyang-gu"
2010,31103,"mortality","per 100k population","All causes","total",351.7,"Gyeonggi-do","Ilsandong-gu"
2010,31103,"mortality","per 100k population","All causes","male",483.3,"Gyeonggi-do","Ilsandong-gu"
2010,31103,"mortality","per 100k population","All causes","female",257.8,"Gyeonggi-do","Ilsandong-gu"
2010,31104,"mortality","per 100k population","All causes","total",351,"Gyeonggi-do","Ilsanseo-gu"
2010,31104,"mortality","per 100k population","All causes","male",473.6,"Gyeonggi-do","Ilsanseo-gu"
2010,31104,"mortality","per 100k population","All causes","female",261.9,"Gyeonggi-do","Ilsanseo-gu"
2010,31110,"mortality","per 100k population","All causes","total",278.3,"Gyeonggi-do","Gwacheon-si"
2010,31110,"mortality","per 100k population","All causes","male",365,"Gyeonggi-do","Gwacheon-si"
2010,31110,"mortality","per 100k population","All causes","female",210.4,"Gyeonggi-do","Gwacheon-si"
2010,31120,"mortality","per 100k population","All causes","total",418.6,"Gyeonggi-do","Guri-si"
2010,31120,"mortality","per 100k population","All causes","male",576.6,"Gyeonggi-do","Guri-si"
2010,31120,"mortality","per 100k population","All causes","female",297.8,"Gyeonggi-do","Guri-si"
2010,31130,"mortality","per 100k population","All causes","total",421.5,"Gyeonggi-do","Namyangju-si"
2010,31130,"mortality","per 100k population","All causes","male",576.8,"Gyeonggi-do","Namyangju-si"
2010,31130,"mortality","per 100k population","All causes","female",304.1,"Gyeonggi-do","Namyangju-si"
2010,31140,"mortality","per 100k population","All causes","total",430.2,"Gyeonggi-do","Osan-si"
2010,31140,"mortality","per 100k population","All causes","male",555.7,"Gyeonggi-do","Osan-si"
2010,31140,"mortality","per 100k population","All causes","female",330.5,"Gyeonggi-do","Osan-si"
2010,31150,"mortality","per 100k population","All causes","total",450.2,"Gyeonggi-do","Siheung-si"
2010,31150,"mortality","per 100k population","All causes","male",625.1,"Gyeonggi-do","Siheung-si"
2010,31150,"mortality","per 100k population","All causes","female",320.4,"Gyeonggi-do","Siheung-si"
2010,31160,"mortality","per 100k population","All causes","total",343.8,"Gyeonggi-do","Gunpo-si"
