"sggcd","year","type","class1","class2","unit","value"
"33030",2010,"population","fertility","total","births",1.343
"33030",2015,"population","fertility","total","births",1.301
"33030",2020,"population","fertility","total","births",1.014
"33040",2010,"population","fertility","total","births",NA
"33040",2015,"population","fertility","total","births",1.444
"33040",2020,"population","fertility","total","births",0.959
"33041",2010,"population","fertility","total","births",NA
"33041",2015,"population","fertility","total","births",1.328
"33041",2020,"population","fertility","total","births",0.976
"33042",2010,"population","fertility","total","births",NA
"33042",2015,"population","fertility","total","births",1.366
"33042",2020,"population","fertility","total","births",0.795
"33043",2010,"population","fertility","total","births",NA
"33043",2015,"population","fertility","total","births",1.416
"33043",2020,"population","fertility","total","births",0.968
"33044",2010,"population","fertility","total","births",NA
"33044",2015,"population","fertility","total","births",1.667
"33044",2020,"population","fertility","total","births",1.075
"33310",2010,"population","fertility","total","births",1.657
"33310",2015,"population","fertility","total","births",NA
"33310",2020,"population","fertility","total","births",NA
"33320",2010,"population","fertility","total","births",1.281
"33320",2015,"population","fertility","total","births",1.536
"33320",2020,"population","fertility","total","births",1.184
"33330",2010,"population","fertility","total","births",1.248
"33330",2015,"population","fertility","total","births",1.254
"33330",2020,"population","fertility","total","births",1
"33340",2010,"population","fertility","total","births",1.45
"33340",2015,"population","fertility","total","births",1.21
"33340",2020,"population","fertility","total","births",1.364
"33350",2010,"population","fertility","total","births",1.639
"33350",2015,"population","fertility","total","births",1.62
"33350",2020,"population","fertility","total","births",1.174
"33360",2010,"population","fertility","total","births",1.242
"33360",2015,"population","fertility","total","births",0.98
"33360",2020,"population","fertility","total","births",0.672
"33370",2010,"population","fertility","total","births",1.562
"33370",2015,"population","fertility","total","births",1.517
"33370",2020,"population","fertility","total","births",0.911
"33380",2010,"population","fertility","total","births",1.225
"33380",2015,"population","fertility","total","births",1.226
"33380",2020,"population","fertility","total","births",0.781
"33390",2010,"population","fertility","total","births",1.773
"33390",2015,"population","fertility","total","births",1.832
"33390",2020,"population","fertility","total","births",1.005
"34010",2010,"population","fertility","total","births",1.391
"34010",2015,"population","fertility","total","births",1.38
"34010",2020,"population","fertility","total","births",0.98
"34011",2010,"population","fertility","total","births",1.35
"34011",2015,"population","fertility","total","births",1.32
"34011",2020,"population","fertility","total","births",0.878
"34012",2010,"population","fertility","total","births",1.422
"34012",2015,"population","fertility","total","births",1.417
"34012",2020,"population","fertility","total","births",1.025
"34020",2010,"population","fertility","total","births",1.259
"34020",2015,"population","fertility","total","births",1.147
"34020",2020,"population","fertility","total","births",1.024
"34030",2010,"population","fertility","total","births",1.387
"34030",2015,"population","fertility","total","births",1.303
"34030",2020,"population","fertility","total","births",0.987
"34040",2010,"population","fertility","total","births",1.733
"34040",2015,"population","fertility","total","births",1.692
"34040",2020,"population","fertility","total","births",0.99
"34050",2010,"population","fertility","total","births",1.66
"34050",2015,"population","fertility","total","births",1.752
"34050",2020,"population","fertility","total","births",1.255
"34060",2010,"population","fertility","total","births",1.356
"34060",2015,"population","fertility","total","births",1.384
"34060",2020,"population","fertility","total","births",0.984
"34070",2010,"population","fertility","total","births",1.412
"34070",2015,"population","fertility","total","births",1.305
"34070",2020,"population","fertility","total","births",0.91
"34080",2010,"population","fertility","total","births",NA
"34080",2015,"population","fertility","total","births",1.949
"34080",2020,"population","fertility","total","births",1.254
"34310",2010,"population","fertility","total","births",1.83
"34310",2015,"population","fertility","total","births",1.29
"34310",2020,"population","fertility","total","births",1.07
"34320",2010,"population","fertility","total","births",1.681
"34320",2015,"population","fertility","total","births",NA
"34320",2020,"population","fertility","total","births",NA
"34330",2010,"population","fertility","total","births",1.338
"34330",2015,"population","fertility","total","births",1.311
"34330",2020,"population","fertility","total","births",0.809
"34340",2010,"population","fertility","total","births",1.368
"34340",2015,"population","fertility","total","births",1.213
"34340",2020,"population","fertility","total","births",1.123
"34350",2010,"population","fertility","total","births",1.537
"34350",2015,"population","fertility","total","births",1.497
"34350",2020,"population","fertility","total","births",0.978
"34360",2010,"population","fertility","total","births",1.326
"34360",2015,"population","fertility","total","births",1.354
"34360",2020,"population","fertility","total","births",1.204
"34370",2010,"population","fertility","total","births",1.28
"34370",2015,"population","fertility","total","births",1.16
"34370",2020,"population","fertility","total","births",0.921
"34380",2010,"population","fertility","total","births",1.309
"34380",2015,"population","fertility","total","births",1.321
"34380",2020,"population","fertility","total","births",1.002
"34390",2010,"population","fertility","total","births",1.486
"34390",2015,"population","fertility","total","births",NA
"34390",2020,"population","fertility","total","births",NA
"35010",2010,"population","fertility","total","births",1.23
"35010",2015,"population","fertility","total","births",1.255
"35010",2020,"population","fertility","total","births",0.811
"35011",2010,"population","fertility","total","births",1.153
"35011",2015,"population","fertility","total","births",1.197
"35011",2020,"population","fertility","total","births",0.722
"35012",2010,"population","fertility","total","births",1.321
"35012",2015,"population","fertility","total","births",1.327
"35012",2020,"population","fertility","total","births",0.902
"35020",2010,"population","fertility","total","births",1.416
"35020",2015,"population","fertility","total","births",1.495
"35020",2020,"population","fertility","total","births",0.954
"35030",2010,"population","fertility","total","births",1.337
"35030",2015,"population","fertility","total","births",1.341
"35030",2020,"population","fertility","total","births",0.851
"35040",2010,"population","fertility","total","births",1.386
"35040",2015,"population","fertility","total","births",1.338
"35040",2020,"population","fertility","total","births",0.866
"35050",2010,"population","fertility","total","births",1.48
"35050",2015,"population","fertility","total","births",1.383
"35050",2020,"population","fertility","total","births",1.215
"35060",2010,"population","fertility","total","births",1.474
"35060",2015,"population","fertility","total","births",1.268
"35060",2020,"population","fertility","total","births",0.969
"35310",2010,"population","fertility","total","births",1.866
"35310",2015,"population","fertility","total","births",1.697
"35310",2020,"population","fertility","total","births",0.923
"35320",2010,"population","fertility","total","births",2.41
"35320",2015,"population","fertility","total","births",1.821
"35320",2020,"population","fertility","total","births",1.637
"35330",2010,"population","fertility","total","births",1.537
"35330",2015,"population","fertility","total","births",1.46
"35330",2020,"population","fertility","total","births",1.111
"35340",2010,"population","fertility","total","births",1.78
"35340",2015,"population","fertility","total","births",1.388
"35340",2020,"population","fertility","total","births",1.279
"35350",2010,"population","fertility","total","births",1.877
"35350",2015,"population","fertility","total","births",1.634
"35350",2020,"population","fertility","total","births",1.749
"35360",2010,"population","fertility","total","births",1.62
"35360",2015,"population","fertility","total","births",1.475
"35360",2020,"population","fertility","total","births",1.66
"35370",2010,"population","fertility","total","births",1.376
"35370",2015,"population","fertility","total","births",1.278
"35370",2020,"population","fertility","total","births",1.145
"35380",2010,"population","fertility","total","births",1.34
"35380",2015,"population","fertility","total","births",1.178
"35380",2020,"population","fertility","total","births",0.953
"36010",2010,"population","fertility","total","births",1.445
"36010",2015,"population","fertility","total","births",1.304
"36010",2020,"population","fertility","total","births",0.801
"36020",2010,"population","fertility","total","births",1.379
"36020",2015,"population","fertility","total","births",1.55
"36020",2020,"population","fertility","total","births",1.067
"36030",2010,"population","fertility","total","births",1.25
"36030",2015,"population","fertility","total","births",1.34
"36030",2020,"population","fertility","total","births",1.041
"36040",2010,"population","fertility","total","births",1.276
"36040",2015,"population","fertility","total","births",1.639
"36040",2020,"population","fertility","total","births",1.109
"36060",2010,"population","fertility","total","births",1.886
"36060",2015,"population","fertility","total","births",1.835
"36060",2020,"population","fertility","total","births",1.232
"36310",2010,"population","fertility","total","births",1.588
"36310",2015,"population","fertility","total","births",1.599
"36310",2020,"population","fertility","total","births",1.332
"36320",2010,"population","fertility","total","births",1.455
"36320",2015,"population","fertility","total","births",1.437
"36320",2020,"population","fertility","total","births",0.811
"36330",2010,"population","fertility","total","births",1.456
"36330",2015,"population","fertility","total","births",1.57
