year,adm1,adm1_code,adm2,adm2_code,adm3,adm3_code,type,class1,class2,unit,value
2020,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,neighborhood_park_area,square meters,8157271
2015,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,neighborhood_parks,count,115
2015,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,neighborhood_park_area,square meters,8171999
2015,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,neighborhood_parks,count,115
2015,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,neighborhood_park_area,square meters,8171999
2015,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,neighborhood_parks,count,115
2015,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,neighborhood_park_area,square meters,8171999
2015,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,neighborhood_parks,count,115
2015,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,neighborhood_park_area,square meters,8171999
2010,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,neighborhood_parks,count,111
2010,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,neighborhood_park_area,square meters,7941319
2010,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,neighborhood_parks,count,111
2010,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,neighborhood_park_area,square meters,7941319
2010,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,neighborhood_parks,count,111
2010,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,neighborhood_park_area,square meters,7941319
2010,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,neighborhood_parks,count,111
2010,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,neighborhood_park_area,square meters,7941319
2020,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,historic_parks,count,0
2020,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,historic_park_area,square meters,0
2020,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,historic_parks,count,0
2020,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,historic_park_area,square meters,0
2020,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,historic_parks,count,0
2020,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,historic_park_area,square meters,0
2020,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,historic_parks,count,0
2020,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,historic_park_area,square meters,0
2015,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,historic_parks,count,0
2015,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,historic_park_area,square meters,0
2015,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,historic_parks,count,0
2015,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,historic_park_area,square meters,0
2015,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,historic_parks,count,0
2015,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,historic_park_area,square meters,0
2015,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,historic_parks,count,0
2015,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,historic_park_area,square meters,0
2010,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,historic_parks,count,0
2010,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,historic_park_area,square meters,0
2010,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,historic_parks,count,0
2010,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,historic_park_area,square meters,0
2010,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,historic_parks,count,0
2010,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,historic_park_area,square meters,0
2010,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,historic_parks,count,0
2010,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,historic_park_area,square meters,0
2020,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,cultural_parks,count,5
2020,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,cultural_park_area,square meters,64766
2020,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,cultural_parks,count,5
2020,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,cultural_park_area,square meters,64766
2020,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,cultural_parks,count,5
2020,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,cultural_park_area,square meters,64766
2020,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,cultural_parks,count,5
2020,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,cultural_park_area,square meters,64766
2015,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,cultural_parks,count,5
2015,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,cultural_park_area,square meters,64766
2015,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,cultural_parks,count,5
2015,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,cultural_park_area,square meters,64766
2015,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,cultural_parks,count,5
2015,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,cultural_park_area,square meters,64766
2015,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,cultural_parks,count,5
2015,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,cultural_park_area,square meters,64766
2010,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,cultural_parks,count,4
2010,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,cultural_park_area,square meters,57548
2010,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,cultural_parks,count,4
2010,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,cultural_park_area,square meters,57548
2010,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,cultural_parks,count,4
2010,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,cultural_park_area,square meters,57548
2010,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,cultural_parks,count,4
2010,Gyeonggi-do,31,Suji-gu,31193,NA,NA,landuse,park,cultural_park_area,square meters,57548
2020,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,waterfront_parks,count,3
2020,Gyeonggi-do,31,Yongin-si,31190,NA,NA,landuse,park,waterfront_park_area,square meters,10490
2020,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,waterfront_parks,count,3
2020,Gyeonggi-do,31,Cheoin-gu,31191,NA,NA,landuse,park,waterfront_park_area,square meters,10490
2020,Gyeonggi-do,31,Giheung-gu,31192,NA,NA,landuse,park,waterfront_parks,count,3
