sido_kr,sigungu_kr,sigungu_1_kr,sigungu_2_kr,sido_en,sigun_en,sigungu_1_en,sigungu_2_en,sdsgg_en,base_year,tax_exclude
경기도,광명시,광명시,광명시,Gyeonggi-do,Gwangmyeong-si,Gwangmyeong-si,Gwangmyeong-si,Gwangmyeong-si Gyeonggi-do,2020,
경기도,평택시,평택시,평택시,Gyeonggi-do,Pyeongtaek-si,Pyeongtaek-si,Pyeongtaek-si,Pyeongtaek-si Gyeonggi-do,2020,
경기도,동두천시,동두천시,동두천시,Gyeonggi-do,Dongducheon-si,Dongducheon-si,Dongducheon-si,Dongducheon-si Gyeonggi-do,2020,
경기도,안산시 상록구,안산시,상록구,Gyeonggi-do,Ansan-si,Sangnok-gu,Sangnok-gu Ansan-si,Sangnok-gu Ansan-si Gyeonggi-do,2020,
경기도,안산시 단원구,안산시,단원구,Gyeonggi-do,Ansan-si,Danwon-gu,Danwon-gu Ansan-si,Danwon-gu Ansan-si Gyeonggi-do,2020,
경기도,고양시 덕양구,고양시,덕양구,Gyeonggi-do,Goyang-si,Deogyang-gu,Deogyang-gu Goyang-si,Deogyang-gu Goyang-si Gyeonggi-do,2020,
경기도,고양시 일산동구,고양시,일산동구,Gyeonggi-do,Goyang-si,Ilsandong-gu,Ilsandong-gu Goyang-si,Ilsandong-gu Goyang-si Gyeonggi-do,2020,
경기도,고양시 일산서구,고양시,일산서구,Gyeonggi-do,Goyang-si,Ilsanseo-gu,Ilsanseo-gu Goyang-si,Ilsanseo-gu Goyang-si Gyeonggi-do,2020,
경기도,과천시,과천시,과천시,Gyeonggi-do,Gwacheon-si,Gwacheon-si,Gwacheon-si,Gwacheon-si Gyeonggi-do,2020,
경기도,구리시,구리시,구리시,Gyeonggi-do,Guri-si,Guri-si,Guri-si,Guri-si Gyeonggi-do,2020,
경기도,남양주시,남양주시,남양주시,Gyeonggi-do,Namyangju-si,Namyangju-si,Namyangju-si,Namyangju-si Gyeonggi-do,2020,
경기도,오산시,오산시,오산시,Gyeonggi-do,Osan-si,Osan-si,Osan-si,Osan-si Gyeonggi-do,2020,
경기도,시흥시,시흥시,시흥시,Gyeonggi-do,Siheung-si,Siheung-si,Siheung-si,Siheung-si Gyeonggi-do,2020,
경기도,군포시,군포시,군포시,Gyeonggi-do,Gunpo-si,Gunpo-si,Gunpo-si,Gunpo-si Gyeonggi-do,2020,
경기도,의왕시,의왕시,의왕시,Gyeonggi-do,Uiwang-si,Uiwang-si,Uiwang-si,Uiwang-si Gyeonggi-do,2020,
경기도,하남시,하남시,하남시,Gyeonggi-do,Hanam-si,Hanam-si,Hanam-si,Hanam-si Gyeonggi-do,2020,
경기도,용인시 처인구,용인시 ,처인구,Gyeonggi-do,Yongin-si,Cheoin-gu,Cheoin-gu Yongin-si,Cheoin-gu Yongin-si Gyeonggi-do,2020,
경기도,용인시 기흥구,용인시 ,기흥구,Gyeonggi-do,Yongin-si,Giheung-gu,Giheung-gu Yongin-si,Giheung-gu Yongin-si Gyeonggi-do,2020,
경기도,용인시 수지구,용인시 ,수지구,Gyeonggi-do,Yongin-si,Suji-gu,Suji-gu Yongin-si,Suji-gu Yongin-si Gyeonggi-do,2020,
경기도,파주시,파주시,파주시,Gyeonggi-do,Paju-si,Paju-si,Paju-si,Paju-si Gyeonggi-do,2020,
경기도,이천시,이천시,이천시,Gyeonggi-do,Icheon-si,Icheon-si,Icheon-si,Icheon-si Gyeonggi-do,2020,
경기도,안성시,안성시,안성시,Gyeonggi-do,Anseong-si,Anseong-si,Anseong-si,Anseong-si Gyeonggi-do,2020,
경기도,김포시,김포시,김포시,Gyeonggi-do,Gimpo-si,Gimpo-si,Gimpo-si,Gimpo-si Gyeonggi-do,2020,
경기도,화성시,화성시,화성시,Gyeonggi-do,Hwaseong-si,Hwaseong-si,Hwaseong-si,Hwaseong-si Gyeonggi-do,2020,
경기도,광주시,광주시,광주시,Gyeonggi-do,Gwangju-si,Gwangju-si,Gwangju-si,Gwangju-si Gyeonggi-do,2020,
경기도,양주시,양주시,양주시,Gyeonggi-do,Yangju-si,Yangju-si,Yangju-si,Yangju-si Gyeonggi-do,2020,
경기도,포천시,포천시,포천시,Gyeonggi-do,Pocheon-si,Pocheon-si,Pocheon-si,Pocheon-si Gyeonggi-do,2020,
경기도,여주시,여주시,여주시,Gyeonggi-do,Yeoju-si,Yeoju-si,Yeoju-si,Yeoju-si Gyeonggi-do,2020,
경기도,연천군,연천군,연천군,Gyeonggi-do,Yeoncheon-gun,Yeoncheon-gun,Yeoncheon-gun,Yeoncheon-gun Gyeonggi-do,2020,
경기도,가평군,가평군,가평군,Gyeonggi-do,Gapyeong-gun,Gapyeong-gun,Gapyeong-gun,Gapyeong-gun Gyeonggi-do,2020,
경기도,양평군,양평군,양평군,Gyeonggi-do,Yangpyeong-gun,Yangpyeong-gun,Yangpyeong-gun,Yangpyeong-gun Gyeonggi-do,2020,
강원특별자치도,춘천시,춘천시,춘천시,Gangwon State,Chuncheon-si,Chuncheon-si,Chuncheon-si,Chuncheon-si Gangwon State,2020,
강원특별자치도,원주시,원주시,원주시,Gangwon State,Wonju-si,Wonju-si,Wonju-si,Wonju-si Gangwon State,2020,
강원특별자치도,강릉시,강릉시,강릉시,Gangwon State,Gangneung-si,Gangneung-si,Gangneung-si,Gangneung-si Gangwon State,2020,
강원특별자치도,동해시,동해시,동해시,Gangwon State,Donghae-si,Donghae-si,Donghae-si,Donghae-si Gangwon State,2020,
강원특별자치도,태백시,태백시,태백시,Gangwon State,Taebaek-si,Taebaek-si,Taebaek-si,Taebaek-si Gangwon State,2020,
강원특별자치도,속초시,속초시,속초시,Gangwon State,Sokcho-si,Sokcho-si,Sokcho-si,Sokcho-si Gangwon State,2020,
강원특별자치도,삼척시,삼척시,삼척시,Gangwon State,Samcheok-si,Samcheok-si,Samcheok-si,Samcheok-si Gangwon State,2020,
강원특별자치도,홍천군,홍천군,홍천군,Gangwon State,Hongcheon-gun,Hongcheon-gun,Hongcheon-gun,Hongcheon-gun Gangwon State,2020,
강원특별자치도,횡성군,횡성군,횡성군,Gangwon State,Hoengseong-gun,Hoengseong-gun,Hoengseong-gun,Hoengseong-gun Gangwon State,2020,
강원특별자치도,영월군,영월군,영월군,Gangwon State,Yeongwol-gun,Yeongwol-gun,Yeongwol-gun,Yeongwol-gun Gangwon State,2020,
강원특별자치도,평창군,평창군,평창군,Gangwon State,Pyeongchang-gun,Pyeongchang-gun,Pyeongchang-gun,Pyeongchang-gun Gangwon State,2020,
강원특별자치도,정선군,정선군,정선군,Gangwon State,Jeongseon-gun,Jeongseon-gun,Jeongseon-gun,Jeongseon-gun Gangwon State,2020,
강원특별자치도,철원군,철원군,철원군,Gangwon State,Cheorwon-gun,Cheorwon-gun,Cheorwon-gun,Cheorwon-gun Gangwon State,2020,
강원특별자치도,화천군,화천군,화천군,Gangwon State,Hwacheon-gun,Hwacheon-gun,Hwacheon-gun,Hwacheon-gun Gangwon State,2020,
강원특별자치도,양구군,양구군,양구군,Gangwon State,Yanggu-gun,Yanggu-gun,Yanggu-gun,Yanggu-gun Gangwon State,2020,
강원특별자치도,인제군,인제군,인제군,Gangwon State,Inje-gun,Inje-gun,Inje-gun,Inje-gun Gangwon State,2020,
강원특별자치도,고성군,고성군,고성군,Gangwon State,Goseong-gun,Goseong-gun,Goseong-gun,Goseong-gun Gangwon State,2020,
강원특별자치도,양양군,양양군,양양군,Gangwon State,Yangyang-gun,Yangyang-gun,Yangyang-gun,Yangyang-gun Gangwon State,2020,
충청북도,충주시,충주시,충주시,Chungcheongbuk-do,Chungju-si,Chungju-si,Chungju-si,Chungju-si Chungcheongbuk-do,2020,
충청북도,제천시,제천시,제천시,Chungcheongbuk-do,Jecheon-si,Jecheon-si,Jecheon-si,Jecheon-si Chungcheongbuk-do,2020,
충청북도,청주시 상당구,청주시 ,상당구,Chungcheongbuk-do,Cheongju-si,Sangdang-gu,Sangdang-gu Cheongju-si,Sangdang-gu Cheongju-si Chungcheongbuk-do,2020,
충청북도,청주시 서원구,청주시 ,서원구,Chungcheongbuk-do,Cheongju-si,Seowon-gu,Seowon-gu Cheongju-si,Seowon-gu Cheongju-si Chungcheongbuk-do,2020,
충청북도,청주시 흥덕구,청주시 ,흥덕구,Chungcheongbuk-do,Cheongju-si,Heungdeok-gu,Heungdeok-gu Cheongju-si,Heungdeok-gu Cheongju-si Chungcheongbuk-do,2020,
충청북도,청주시 청원구,청주시 ,청원구,Chungcheongbuk-do,Cheongju-si,Cheongwon-gu,Cheongwon-gu Cheongju-si,Cheongwon-gu Cheongju-si Chungcheongbuk-do,2020,
충청북도,보은군,보은군,보은군,Chungcheongbuk-do,Boeun-gun,Boeun-gun,Boeun-gun,Boeun-gun Chungcheongbuk-do,2020,
충청북도,옥천군,옥천군,옥천군,Chungcheongbuk-do,Okcheon-gun,Okcheon-gun,Okcheon-gun,Okcheon-gun Chungcheongbuk-do,2020,
충청북도,영동군,영동군,영동군,Chungcheongbuk-do,Yeongdong-gun,Yeongdong-gun,Yeongdong-gun,Yeongdong-gun Chungcheongbuk-do,2020,
충청북도,진천군,진천군,진천군,Chungcheongbuk-do,Jincheon-gun,Jincheon-gun,Jincheon-gun,Jincheon-gun Chungcheongbuk-do,2020,
충청북도,괴산군,괴산군,괴산군,Chungcheongbuk-do,Goesan-gun,Goesan-gun,Goesan-gun,Goesan-gun Chungcheongbuk-do,2020,
충청북도,음성군,음성군,음성군,Chungcheongbuk-do,Eumseong-gun,Eumseong-gun,Eumseong-gun,Eumseong-gun Chungcheongbuk-do,2020,
충청북도,단양군,단양군,단양군,Chungcheongbuk-do,Danyang-gun,Danyang-gun,Danyang-gun,Danyang-gun Chungcheongbuk-do,2020,
충청북도,증평군,증평군,증평군,Chungcheongbuk-do,Jeungpyeong-gun,Jeungpyeong-gun,Jeungpyeong-gun,Jeungpyeong-gun Chungcheongbuk-do,2020,
