"year","sggcd","type","class1","class2","unit","value"
2010,"4200166","environment","organic_matter","discharge","kg_day",63
2010,"4200167","environment","organic_matter","discharge","kg_day",75
2010,"4200168","environment","organic_matter","discharge","kg_day",107
2010,"4200169","environment","organic_matter","discharge","kg_day",66
2010,"4200170","environment","organic_matter","discharge","kg_day",50
2010,"4200171","environment","organic_matter","discharge","kg_day",95
2010,"4200172","environment","organic_matter","discharge","kg_day",69
2010,"4200173","environment","organic_matter","discharge","kg_day",68
2010,"4200175","environment","organic_matter","discharge","kg_day",2380
2010,"4200176","environment","organic_matter","discharge","kg_day",113
2010,"4200177","environment","organic_matter","discharge","kg_day",237
2010,"4200180","environment","organic_matter","discharge","kg_day",264
2010,"4200181","environment","organic_matter","discharge","kg_day",140
2010,"4200182","environment","organic_matter","discharge","kg_day",491
2010,"4200183","environment","organic_matter","discharge","kg_day",67
2010,"4200184","environment","organic_matter","discharge","kg_day",106
2010,"4200185","environment","organic_matter","discharge","kg_day",53
2010,"4200186","environment","organic_matter","discharge","kg_day",48
2010,"4200188","environment","organic_matter","discharge","kg_day",321
2010,"4200189","environment","organic_matter","discharge","kg_day",78
2010,"4200190","environment","organic_matter","discharge","kg_day",402
2010,"4200191","environment","organic_matter","discharge","kg_day",60
2010,"4200193","environment","organic_matter","discharge","kg_day",2914
2010,"4200196","environment","organic_matter","discharge","kg_day",288
2010,"4200197","environment","organic_matter","discharge","kg_day",399
2010,"4200199","environment","organic_matter","discharge","kg_day",178
2010,"4200200","environment","organic_matter","discharge","kg_day",175
2010,"4200201","environment","organic_matter","discharge","kg_day",447
2010,"4200202","environment","organic_matter","discharge","kg_day",147
2010,"4200203","environment","organic_matter","discharge","kg_day",203
2010,"4200205","environment","organic_matter","discharge","kg_day",25
2010,"4200207","environment","organic_matter","discharge","kg_day",232
2010,"4200208","environment","organic_matter","discharge","kg_day",203
2010,"4200209","environment","organic_matter","discharge","kg_day",78
2010,"4200210","environment","organic_matter","discharge","kg_day",62
2010,"4200211","environment","organic_matter","discharge","kg_day",44
2010,"4200212","environment","organic_matter","discharge","kg_day",78
2010,"4200213","environment","organic_matter","discharge","kg_day",111
2010,"4200214","environment","organic_matter","discharge","kg_day",40
2010,"4200215","environment","organic_matter","discharge","kg_day",204
2010,"4200218","environment","organic_matter","discharge","kg_day",2241
2010,"4200219","environment","organic_matter","discharge","kg_day",147
2010,"4200220","environment","organic_matter","discharge","kg_day",288
2010,"4200221","environment","organic_matter","discharge","kg_day",340
2010,"4200222","environment","organic_matter","discharge","kg_day",526
2010,"4200224","environment","organic_matter","discharge","kg_day",145
2010,"4200225","environment","organic_matter","discharge","kg_day",121
2010,"4200226","environment","organic_matter","discharge","kg_day",152
2010,"4200227","environment","organic_matter","discharge","kg_day",171
2010,"4200228","environment","organic_matter","discharge","kg_day",67
2010,"4200229","environment","organic_matter","discharge","kg_day",28
2010,"4200230","environment","organic_matter","discharge","kg_day",21
2010,"4200231","environment","organic_matter","discharge","kg_day",51
2010,"4200232","environment","organic_matter","discharge","kg_day",74
2010,"4200233","environment","organic_matter","discharge","kg_day",51
2010,"4200234","environment","organic_matter","discharge","kg_day",59
2010,"4200236","environment","organic_matter","discharge","kg_day",2235
2010,"4200237","environment","organic_matter","discharge","kg_day",174
2010,"4200238","environment","organic_matter","discharge","kg_day",408
2010,"4200239","environment","organic_matter","discharge","kg_day",238
2010,"4200240","environment","organic_matter","discharge","kg_day",163
2010,"4200241","environment","organic_matter","discharge","kg_day",253
2010,"4200242","environment","organic_matter","discharge","kg_day",101
2010,"4200243","environment","organic_matter","discharge","kg_day",53
2010,"4200244","environment","organic_matter","discharge","kg_day",22
2010,"4200247","environment","organic_matter","discharge","kg_day",99
2010,"4200248","environment","organic_matter","discharge","kg_day",49
2010,"4200249","environment","organic_matter","discharge","kg_day",77
2010,"4200250","environment","organic_matter","discharge","kg_day",21
2010,"4200251","environment","organic_matter","discharge","kg_day",32
2010,"4200252","environment","organic_matter","discharge","kg_day",68
2010,"4200253","environment","organic_matter","discharge","kg_day",100
2010,"4200254","environment","organic_matter","discharge","kg_day",84
2010,"4200255","environment","organic_matter","discharge","kg_day",43
2010,"4200256","environment","organic_matter","discharge","kg_day",69
2010,"4200257","environment","organic_matter","discharge","kg_day",82
2010,"4200258","environment","organic_matter","discharge","kg_day",51
2010,"4200259","environment","organic_matter","discharge","kg_day",29
2010,"4200260","environment","organic_matter","discharge","kg_day",19
2010,"4200262","environment","organic_matter","discharge","kg_day",3846
2010,"4200263","environment","organic_matter","discharge","kg_day",344
2010,"4200264","environment","organic_matter","discharge","kg_day",174
2010,"4200265","environment","organic_matter","discharge","kg_day",390
2010,"4200266","environment","organic_matter","discharge","kg_day",161
2010,"4200267","environment","organic_matter","discharge","kg_day",150
2010,"4200268","environment","organic_matter","discharge","kg_day",644
2010,"4200269","environment","organic_matter","discharge","kg_day",127
2010,"4200270","environment","organic_matter","discharge","kg_day",257
2010,"4200271","environment","organic_matter","discharge","kg_day",95
2010,"4200272","environment","organic_matter","discharge","kg_day",77
2010,"4200273","environment","organic_matter","discharge","kg_day",461
2010,"4200274","environment","organic_matter","discharge","kg_day",55
2010,"4200275","environment","organic_matter","discharge","kg_day",43
2010,"4200276","environment","organic_matter","discharge","kg_day",22
2010,"4200277","environment","organic_matter","discharge","kg_day",19
2010,"4200278","environment","organic_matter","discharge","kg_day",48
2010,"4200279","environment","organic_matter","discharge","kg_day",45
2010,"4200280","environment","organic_matter","discharge","kg_day",152
2010,"4200281","environment","organic_matter","discharge","kg_day",134
2010,"4200282","environment","organic_matter","discharge","kg_day",309
2010,"4200283","environment","organic_matter","discharge","kg_day",33
2010,"4200284","environment","organic_matter","discharge","kg_day",39
2010,"4200285","environment","organic_matter","discharge","kg_day",55
2010,"4200286","environment","organic_matter","discharge","kg_day",12
2010,"4200288","environment","organic_matter","discharge","kg_day",3891
2010,"4200293","environment","organic_matter","discharge","kg_day",298
2010,"4200295","environment","organic_matter","discharge","kg_day",104
2010,"4200297","environment","organic_matter","discharge","kg_day",228
2010,"4200299","environment","organic_matter","discharge","kg_day",857
2010,"4200301","environment","organic_matter","discharge","kg_day",127
2010,"4200302","environment","organic_matter","discharge","kg_day",124
2010,"4200303","environment","organic_matter","discharge","kg_day",453
2010,"4200305","environment","organic_matter","discharge","kg_day",47
2010,"4200306","environment","organic_matter","discharge","kg_day",199
2010,"4200307","environment","organic_matter","discharge","kg_day",111
2010,"4200308","environment","organic_matter","discharge","kg_day",95
2010,"4200309","environment","organic_matter","discharge","kg_day",82
