"sigungu_cd","sigungu_kr","population_relative_total","population_nonrelative_total","population_relative_male","population_nonrelative_male","population_relative_female","population_nonrelative_female","sido_en","sigungu_1_en"
31191,"처인구","258506","8058","131435","4659","127071","3399","Gyeonggi-do","Cheoin-gu"
31192,"기흥구","411524","8147","201567","4343","209957","3804","Gyeonggi-do","Giheung-gu"
31193,"수지구","352548","5951","170983","2977","181565","2974","Gyeonggi-do","Suji-gu"
31200,"파주시","478429","11602","238629","6398","239800","5204","Gyeonggi-do","Paju-si"
31210,"이천시","208890","7079","107839","4499","101051","2580","Gyeonggi-do","Icheon-si"
31220,"안성시","184549","6383","94596","3722","89953","2661","Gyeonggi-do","Anseong-si"
31230,"김포시","462111","10041","228707","5474","233404","4567","Gyeonggi-do","Gimpo-si"
31240,"화성시","924860","26541","475704","15728","449156","10813","Gyeonggi-do","Hwaseong-si"
31250,"광주시","377812","10146","190990","5826","186822","4320","Gyeonggi-do","Gwangju-si"
31260,"양주시","272690","6770","136026","3782","136664","2988","Gyeonggi-do","Yangju-si"
31270,"포천시","131502","4627","68423","2763","63079","1864","Gyeonggi-do","Pocheon-si"
31280,"여주시","107113","3420","54227","1891","52886","1529","Gyeonggi-do","Yeoju-si"
31550,"연천군","37607","1259","19383","724","18224","535","Gyeonggi-do","Yeoncheon-gun"
31570,"가평군","56572","1949","28735","1089","27837","860","Gyeonggi-do","Gapyeong-gun"
31580,"양평군","115134","3423","57367","1861","57767","1562","Gyeonggi-do","Yangpyeong-gun"
32010,"춘천시","273755","5303","134099","2845","139656","2458","Gangwon State","Chuncheon-si"
32020,"원주시","347120","7382","170889","3887","176231","3495","Gangwon State","Wonju-si"
32030,"강릉시","200003","4589","99070","2442","100933","2147","Gangwon State","Gangneung-si"
32040,"동해시","82716","2016","41593","1113","41123","903","Gangwon State","Donghae-si"
32050,"태백시","36383","1094","18327","630","18056","464","Gangwon State","Taebaek-si"
32060,"속초시","76840","2406","37715","1310","39125","1096","Gangwon State","Sokcho-si"
32070,"삼척시","58456","1584","29961","879","28495","705","Gangwon State","Samcheok-si"
32510,"홍천군","61909","1685","31770","1035","30139","650","Gangwon State","Hongcheon-gun"
32520,"횡성군","42418","1215","21705","684","20713","531","Gangwon State","Hoengseong-gun"
32530,"영월군","33972","1051","17491","588","16481","463","Gangwon State","Yeongwol-gun"
32540,"평창군","37073","1075","19083","582","17990","493","Gangwon State","Pyeongchang-gun"
32550,"정선군","31107","1091","16114","621","14993","470","Gangwon State","Jeongseon-gun"
32560,"철원군","37180","871","18825","496","18355","375","Gangwon State","Cheorwon-gun"
32570,"화천군","20941","799","10951","492","9990","307","Gangwon State","Hwacheon-gun"
32580,"양구군","18889","616","9747","349","9142","267","Gangwon State","Yanggu-gun"
32590,"인제군","28690","1011","15268","623","13422","388","Gangwon State","Inje-gun"
32600,"고성군","24830","750","12578","439","12252","311","Gangwon State","Goseong-gun"
32610,"양양군","25533","796","12917","453","12616","343","Gangwon State","Yangyang-gun"
33020,"충주시","200519","4941","101559","2799","98960","2142","Chungcheongbuk-do","Chungju-si"
33030,"제천시","121834","3085","61159","1716","60675","1369","Chungcheongbuk-do","Jecheon-si"
33040,"청주시","824446","19713","413681","10913","410765","8800","Chungcheongbuk-do","Cheongju-si"
33041,"상당구","189796","3612","93591","1953","96205","1659","Chungcheongbuk-do","Sangdang-gu"
33042,"서원구","177165","3845","87893","2143","89272","1702","Chungcheongbuk-do","Seowon-gu"
33043,"흥덕구","274329","7411","138475","4046","135854","3365","Chungcheongbuk-do","Heungdeok-gu"
33044,"청원구","183156","4845","93722","2771","89434","2074","Chungcheongbuk-do","Cheongwon-gu"
33520,"보은군","28364","718","14164","381","14200","337","Chungcheongbuk-do","Boeun-gun"
33530,"옥천군","44613","1085","22399","561","22214","524","Chungcheongbuk-do","Okcheon-gun"
33540,"영동군","41005","1327","20567","728","20438","599","Chungcheongbuk-do","Yeongdong-gun"
33550,"진천군","83082","3092","43546","1918","39536","1174","Chungcheongbuk-do","Jincheon-gun"
33560,"괴산군","33809","1165","17407","662","16402","503","Chungcheongbuk-do","Goesan-gun"
33570,"음성군","84001","3260","44177","2009","39824","1251","Chungcheongbuk-do","Eumseong-gun"
33580,"단양군","25124","697","12766","404","12358","293","Chungcheongbuk-do","Danyang-gun"
33590,"증평군","35538","909","18397","543","17141","366","Chungcheongbuk-do","Jeungpyeong-gun"
34010,"천안시","638754","22907","324592","13096","314162","9811","Chungcheongnam-do","Cheonan-si"
34011,"동남구","253143","8302","126849","4647","126294","3655","Chungcheongnam-do","Dongnam-gu"
34012,"서북구","385611","14605","197743","8449","187868","6156","Chungcheongnam-do","Seobuk-gu"
34020,"공주시","94955","2625","47174","1396","47781","1229","Chungcheongnam-do","Gongju-si"
34030,"보령시","88776","2488","44729","1474","44047","1014","Chungcheongnam-do","Boryeong-si"
34040,"아산시","341155","11139","175893","6583","165262","4556","Chungcheongnam-do","Asan-si"
34050,"서산시","167253","4510","87132","2759","80121","1751","Chungcheongnam-do","Seosan-si"
34060,"논산시","101669","2689","50466","1425","51203","1264","Chungcheongnam-do","Nonsan-si"
34070,"계룡시","43821","698","21634","373","22187","325","Chungcheongnam-do","Gyeryong-si"
34080,"당진시","163479","4994","87003","3053","76476","1941","Chungcheongnam-do","Dangjin-si"
34510,"금산군","46836","1581","23205","800","23631","781","Chungcheongnam-do","Geumsan-gun"
34530,"부여군","55460","1364","27453","726","28007","638","Chungcheongnam-do","Buyeo-gun"
34540,"서천군","44723","1227","22091","696","22632","531","Chungcheongnam-do","Seocheon-gun"
34550,"청양군","27023","839","13651","470","13372","369","Chungcheongnam-do","Cheongyang-gun"
34560,"홍성군","94378","2182","46771","1217","47607","965","Chungcheongnam-do","Hongseong-gun"
34570,"예산군","73594","2047","36794","1127","36800","920","Chungcheongnam-do","Yesan-gun"
34580,"태안군","56156","1741","28444","1003","27712","738","Chungcheongnam-do","Taean-gun"
35010,"전주시","618007","10619","302657","5673","315350","4946","Jeollabuk-do","Jeonju-si"
35011,"완산구","312594","5534","151526","2937","161068","2597","Jeollabuk-do","Wansan-gu"
35012,"덕진구","305413","5085","151131","2736","154282","2349","Jeollabuk-do","Deokjin-gu"
35020,"군산시","247660","5771","124648","3286","123012","2485","Jeollabuk-do","Gunsan-si"
35030,"익산시","255103","5502","126552","3177","128551","2325","Jeollabuk-do","Iksan-si"
35040,"정읍시","95249","2464","47197","1389","48052","1075","Jeollabuk-do","Jeongeup-si"
35050,"남원시","70535","1605","34434","849","36101","756","Jeollabuk-do","Namwon-si"
35060,"김제시","74119","2264","36686","1291","37433","973","Jeollabuk-do","Gimje-si"
35510,"완주군","94208","2294","48108","1305","46100","989","Jeollabuk-do","Wanju-gun"
35520,"진안군","21770","740","10982","442","10788","298","Jeollabuk-do","Jinan-gun"
35530,"무주군","21313","726","10645","421","10668","305","Jeollabuk-do","Muju-gun"
35540,"장수군","19013","608","9472","344","9541","264","Jeollabuk-do","Jangsu-gun"
35550,"임실군","23239","678","11642","393","11597","285","Jeollabuk-do","Imsil-gun"
35560,"순창군","24203","643","11809","374","12394","269","Jeollabuk-do","Sunchang-gun"
35570,"고창군","46809","1406","23129","796","23680","610","Jeollabuk-do","Gochang-gun"
35580,"부안군","44162","1350","21926","805","22236","545","Jeollabuk-do","Buan-gun"
36010,"목포시","202366","5002","100144","2846","102222","2156","Jeollanam-do","Mokpo-si"
36020,"여수시","252402","5507","128013","3261","124389","2246","Jeollanam-do","Yeosu-si"
36030,"순천시","261135","4948","129435","2705","131700","2243","Jeollanam-do","Suncheon-si"
36040,"나주시","108497","3297","54039","1853","54458","1444","Jeollanam-do","Naju-si"
36060,"광양시","144928","3598","75435","2192","69493","1406","Jeollanam-do","Gwangyang-si"
36510,"담양군","39918","1179","19811","630","20107","549","Jeollanam-do","Damyang-gun"
36520,"곡성군","24409","740","12120","412","12289","328","Jeollanam-do","Gokseong-gun"
36530,"구례군","21780","590","10543","325","11237","265","Jeollanam-do","Gurye-gun"
36550,"고흥군","55397","1539","27194","917","28203","622","Jeollanam-do","Goheung-gun"
36560,"보성군","33806","1077","16418","587","17388","490","Jeollanam-do","Boseong-gun"
36570,"화순군","55348","1249","26950","669","28398","580","Jeollanam-do","Hwasun-gun"
36580,"장흥군","31780","886","15479","497","16301","389","Jeollanam-do","Jangheung-gun"
36590,"강진군","29534","725","14384","393","15150","332","Jeollanam-do","Gangjin-gun"
36600,"해남군","57784","1514","28734","876","29050","638","Jeollanam-do","Haenam-gun"
36610,"영암군","48754","2242","25274","1506","23480","736","Jeollanam-do","Yeongam-gun"
36620,"무안군","86147","1949","42998","1108","43149","841","Jeollanam-do","Muan-gun"
36630,"함평군","26704","916","13407","523","13297","393","Jeollanam-do","Hampyeong-gun"
36640,"영광군","47347","1403","23493","787","23854","616","Jeollanam-do","Yeonggwang-gun"
36650,"장성군","37322","1197","18729","664","18593","533","Jeollanam-do","Jangseong-gun"
36660,"완도군","42083","1541","21399","957","20684","584","Jeollanam-do","Wando-gun"
36670,"진도군","26178","948","13055","551","13123","397","Jeollanam-do","Jindo-gun"
36680,"신안군","32956","1724","17493","1118","15463","606","Jeollanam-do","Sinan-gun"
37010,"포항시","468636","10438","236485","5865","232151","4573","Gyeongsangbuk-do","Pohang-si"
37011,"남구","210666","5333","108639","3140","102027","2193","Gyeongsangbuk-do","Nam-gu"
37012,"북구","257970","5105","127846","2725","130124","2380","Gyeongsangbuk-do","Buk-gu"
37020,"경주시","234426","6104","116955","3318","117471","2786","Gyeongsangbuk-do","Gyeongju-si"
37030,"김천시","127160","2670","63424","1452","63736","1218","Gyeongsangbuk-do","Gimcheon-si"
37040,"안동시","144829","3176","71519","1739","73310","1437","Gyeongsangbuk-do","Andong-si"
37050,"구미시","390550","10576","200762","6145","189788","4431","Gyeongsangbuk-do","Gumi-si"
37060,"영주시","93058","2066","45967","1079","47091","987","Gyeongsangbuk-do","Yeongju-si"
37070,"영천시","91022","3065","45807","1726","45215","1339","Gyeongsangbuk-do","Yeongcheon-si"
37080,"상주시","85998","2036","42320","1024","43678","1012","Gyeongsangbuk-do","Sangju-si"
37090,"문경시","61843","1595","30331","846","31512","749","Gyeongsangbuk-do","Mungyeong-si"
37100,"경산시","263282","6268","131693","3551","131589","2717","Gyeongsangbuk-do","Gyeongsan-si"
37520,"의성군","44650","1267","22068","677","22582","590","Gyeongsangbuk-do","Uiseong-gun"
37530,"청송군","21935","655","10964","381","10971","274","Gyeongsangbuk-do","Cheongsong-gun"
37540,"영양군","14294","457","7126","241","7168","216","Gyeongsangbuk-do","Yeongyang-gun"
37550,"영덕군","30576","1052","14589","533","15987","519","Gyeongsangbuk-do","Yeongdeok-gun"
37560,"청도군","36884","1131","17954","593","18930","538","Gyeongsangbuk-do","Cheongdo-gun"
37570,"고령군","27500","877","13823","479","13677","398","Gyeongsangbuk-do","Goryeong-gun"
37580,"성주군","37221","1173","19172","640","18049","533","Gyeongsangbuk-do","Seongju-gun"
37590,"칠곡군","101703","2746","52749","1664","48954","1082","Gyeongsangbuk-do","Chilgok-gun"
37600,"예천군","51443","1056","25210","543","26233","513","Gyeongsangbuk-do","Yecheon-gun"
37610,"봉화군","26440","858","13385","484","13055","374","Gyeongsangbuk-do","Bonghwa-gun"
37620,"울진군","42225","1371","21364","805","20861","566","Gyeongsangbuk-do","Uljin-gun"
37630,"울릉군","8113","594","4503","423","3610","171","Gyeongsangbuk-do","Ulleung-gun"
38030,"진주시","327731","5435","161379","2878","166352","2557","Gyeongsangnam-do","Jinju-si"
38050,"통영시","111978","2919","55931","1737","56047","1182","Gyeongsangnam-do","Tongyeong-si"
38060,"사천시","101793","2687","51273","1514","50520","1173","Gyeongsangnam-do","Sacheon-si"
38070,"김해시","507886","9711","254809","5440","253077","4271","Gyeongsangnam-do","Gimhae-si"
38080,"밀양시","94036","2494","46036","1268","48000","1226","Gyeongsangnam-do","Miryang-si"
38090,"거제시","221547","5222","115358","3302","106189","1920","Gyeongsangnam-do","Geoje-si"
38100,"양산시","342445","6216","169872","3372","172573","2844","Gyeongsangnam-do","Yangsan-si"
38110,"창원시","955451","15486","480081","8635","475370","6851","Gyeongsangnam-do","Changwon-si"
38111,"의창구","200374","2788","101203","1512","99171","1276","Gyeongsangnam-do","Uichang-gu"
38112,"성산구","233666","3794","118102","2243","115564","1551","Gyeongsangnam-do","Seongsan-gu"
38113,"마산합포구","169874","3290","83961","1745","85913","1545","Gyeongsangnam-do","Masanhappo-gu"
38114,"마산회원구","171529","2353","85041","1292","86488","1061","Gyeongsangnam-do","Masanhoewon-gu"
38115,"진해구","180008","3261","91774","1843","88234","1418","Gyeongsangnam-do","Jinhae-gu"
38510,"의령군","22746","750","11158","395","11588","355","Gyeongsangnam-do","Uiryeong-gun"
38520,"함안군","54796","1565","27905","932","26891","633","Gyeongsangnam-do","Haman-gun"
38530,"창녕군","51738","1670","25803","912","25935","758","Gyeongsangnam-do","Changnyeong-gun"
38540,"고성군","44015","1293","21940","705","22075","588","Gyeongsangnam-do","Goseong-gun"
38550,"남해군","36780","827","17794","446","18986","381","Gyeongsangnam-do","Namhae-gun"
38560,"하동군","37018","1142","18372","598","18646","544","Gyeongsangnam-do","Hadong-gun"
38570,"산청군","30257","1086","14977","527","15280","559","Gyeongsangnam-do","Sancheong-gun"
38580,"함양군","33293","892","16187","485","17106","407","Gyeongsangnam-do","Hamyang-gun"
38590,"거창군","55623","1171","27253","598","28370","573","Gyeongsangnam-do","Geochang-gun"
38600,"합천군","36805","1054","18004","583","18801","471","Gyeongsangnam-do","Hapcheon-gun"
39010,"제주시","464944","14487","230421","7814","234523","6673","Jeju","Jeju-si"
39020,"서귀포시","168159","6029","83507","3342","84652","2687","Jeju","Seogwipo-si"
