sido_kr,sido_sgis,sgg_tax_global,C1_NM,sgg_tax_income,C1_NM_income,sggcd,sggnm_kr
울산,26,A1602,동구,A1502,동구,26030,동구
울산,26,A1603,북구,A1503,북구,26040,북구
울산,26,A1604,울주군,A1504,울주군,26510,울주군
세종특별자치시,29,A09,세종,A08,세종,29010,세종시
경기도,31,A0413,수원시,A0313,수원시,31010,수원시
경기도,31,A0413,,A0313,,31011,장안구
경기도,31,A0413,,A0313,,31012,권선구
경기도,31,A0413,,A0313,,31013,팔달구
경기도,31,A0413,,A0313,,31014,영통구
경기도,31,A0412,성남시,A0312,성남시,31020,성남시
경기도,31,A0412,,A0312,,31021,수정구
경기도,31,A0412,,A0312,,31022,중원구
경기도,31,A0412,,A0312,,31023,분당구
경기도,31,A0425,의정부시,A0325,의정부시,31030,의정부시
경기도,31,A0417,안양시,A0317,안양시,31040,안양시
경기도,31,A0417,,A0317,,31041,만안구
경기도,31,A0417,,A0317,,31042,동안구
경기도,31,A0411,부천시,A0311,부천시,31050,부천시
경기도,31,A0404,광명시,A0304,광명시,31060,광명시
경기도,31,A0428,평택시,A0328,평택시,31070,평택시
경기도,31,A0410,동두천시,A0310,동두천시,31080,동두천시
경기도,31,A0415,안산시,A0315,안산시,31090,안산시
경기도,31,A0415,,A0315,,31091,상록구
경기도,31,A0415,,A0315,,31092,단원구
경기도,31,A0402,고양시,A0302,고양시,31100,고양시
경기도,31,A0402,,A0302,,31101,덕양구
경기도,31,A0402,,A0302,,31103,일산동구
경기도,31,A0402,,A0302,,31104,일산서구
경기도,31,A0403,과천시,A0303,과천시,31110,과천시
경기도,31,A0406,구리시,A0306,구리시,31120,구리시
경기도,31,A0409,남양주시,A0309,남양주시,31130,남양주시
경기도,31,A0422,오산시,A0322,오산시,31140,오산시
경기도,31,A0414,시흥시,A0314,시흥시,31150,시흥시
경기도,31,A0407,군포시,A0307,군포시,31160,군포시
경기도,31,A0424,의왕시,A0324,의왕시,31170,의왕시
경기도,31,A0430,하남시,A0330,하남시,31180,하남시
경기도,31,A0423,용인시,A0323,용인시,31190,용인시
경기도,31,A0423,,A0323,,31191,처인구
경기도,31,A0423,,A0323,,31192,기흥구
경기도,31,A0423,,A0323,,31193,수지구
경기도,31,A0427,파주시,A0327,파주시,31200,파주시
경기도,31,A0426,이천시,A0326,이천시,31210,이천시
경기도,31,A0416,안성시,A0316,안성시,31220,안성시
경기도,31,A0408,김포시,A0308,김포시,31230,김포시
경기도,31,A0431,화성시,A0331,화성시,31240,화성시
경기도,31,A0405,광주시,A0305,광주시,31250,광주시
경기도,31,A0418,양주시,A0318,양주시,31260,양주시
경기도,31,A0429,포천시,A0329,포천시,31270,포천시
경기도,31,A0420,여주시,A0320,여주시,31280,여주시
경기도,31,A0421,연천군,A0321,연천군,31550,연천군
경기도,31,A0401,가평군,A0301,가평군,31570,가평군
경기도,31,A0419,양평군,A0319,양평군,31580,양평군
강원특별자치도,32,A0513,춘천시,A0413,춘천시,32010,춘천시
강원특별자치도,32,A0509,원주시,A0409,원주시,32020,원주시
강원특별자치도,32,A0501,강릉시,A0401,강릉시,32030,강릉시
강원특별자치도,32,A0503,동해시,A0403,동해시,32040,동해시
강원특별자치도,32,A0514,태백시,A0414,태백시,32050,태백시
강원특별자치도,32,A0505,속초시,A0405,속초시,32060,속초시
강원특별자치도,32,A0504,삼척시,A0404,삼척시,32070,삼척시
강원특별자치도,32,A0516,홍천군,A0416,홍천군,32510,홍천군
강원특별자치도,32,A0518,횡성군,A0418,횡성군,32520,횡성군
강원특별자치도,32,A0508,영월군,A0408,영월군,32530,영월군
강원특별자치도,32,A0515,평창군,A0415,평창군,32540,평창군
강원특별자치도,32,A0511,정선군,A0411,정선군,32550,정선군
강원특별자치도,32,A0512,철원군,A0412,철원군,32560,철원군
강원특별자치도,32,A0517,화천군,A0417,화천군,32570,화천군
