"year","adm1","adm2","adm2_code","type","class1","class2","unit","value"
2015,"Seoul","Jongno-gu",11010,"economy","company","total","count","40871"
2020,"Seoul","Jongno-gu",11010,"economy","company","total","count","50531"
2010,"Seoul","Jongno-gu",11010,"economy","company","total","count","37636"
2010,"Seoul","Jung-gu",11020,"economy","company","total","count","57916"
2015,"Seoul","Jung-gu",11020,"economy","company","total","count","66190"
2020,"Seoul","Jung-gu",11020,"economy","company","total","count","76129"
2010,"Seoul","Yongsan-gu",11030,"economy","company","total","count","18966"
2020,"Seoul","Yongsan-gu",11030,"economy","company","total","count","31507"
2015,"Seoul","Yongsan-gu",11030,"economy","company","total","count","21178"
2015,"Seoul","Seongdong-gu",11040,"economy","company","total","count","26130"
2020,"Seoul","Seongdong-gu",11040,"economy","company","total","count","41582"
2010,"Seoul","Seongdong-gu",11040,"economy","company","total","count","23148"
2020,"Seoul","Gwangjin-gu",11050,"economy","company","total","count","35423"
2015,"Seoul","Gwangjin-gu",11050,"economy","company","total","count","24531"
2010,"Seoul","Gwangjin-gu",11050,"economy","company","total","count","23791"
2010,"Seoul","Dongdaemun-gu",11060,"economy","company","total","count","29671"
2020,"Seoul","Dongdaemun-gu",11060,"economy","company","total","count","43029"
2015,"Seoul","Dongdaemun-gu",11060,"economy","company","total","count","32994"
2015,"Seoul","Jungnang-gu",11070,"economy","company","total","count","27287"
2020,"Seoul","Jungnang-gu",11070,"economy","company","total","count","38558"
2010,"Seoul","Jungnang-gu",11070,"economy","company","total","count","26526"
2010,"Seoul","Seongbuk-gu",11080,"economy","company","total","count","23593"
2020,"Seoul","Seongbuk-gu",11080,"economy","company","total","count","34420"
2015,"Seoul","Seongbuk-gu",11080,"economy","company","total","count","24690"
2020,"Seoul","Gangbuk-gu",11090,"economy","company","total","count","26711"
2015,"Seoul","Gangbuk-gu",11090,"economy","company","total","count","18654"
2010,"Seoul","Gangbuk-gu",11090,"economy","company","total","count","19256"
2020,"Seoul","Dobong-gu",11100,"economy","company","total","count","25607"
2015,"Seoul","Dobong-gu",11100,"economy","company","total","count","18455"
2010,"Seoul","Dobong-gu",11100,"economy","company","total","count","17498"
2015,"Seoul","Nowon-gu",11110,"economy","company","total","count","25827"
2010,"Seoul","Nowon-gu",11110,"economy","company","total","count","24491"
2020,"Seoul","Nowon-gu",11110,"economy","company","total","count","37442"
2015,"Seoul","Eunpyeong-gu",11120,"economy","company","total","count","24179"
2010,"Seoul","Eunpyeong-gu",11120,"economy","company","total","count","22666"
2020,"Seoul","Eunpyeong-gu",11120,"economy","company","total","count","36273"
2010,"Seoul","Seodaemun-gu",11130,"economy","company","total","count","17887"
2020,"Seoul","Seodaemun-gu",11130,"economy","company","total","count","28769"
2015,"Seoul","Seodaemun-gu",11130,"economy","company","total","count","19612"
2015,"Seoul","Mapo-gu",11140,"economy","company","total","count","36504"
2010,"Seoul","Mapo-gu",11140,"economy","company","total","count","28930"
2020,"Seoul","Mapo-gu",11140,"economy","company","total","count","58694"
2015,"Seoul","Yangcheon-gu",11150,"economy","company","total","count","26297"
2020,"Seoul","Yangcheon-gu",11150,"economy","company","total","count","37183"
2010,"Seoul","Yangcheon-gu",11150,"economy","company","total","count","24563"
2015,"Seoul","Gangseo-gu",11160,"economy","company","total","count","33273"
2020,"Seoul","Gangseo-gu",11160,"economy","company","total","count","58788"
2010,"Seoul","Gangseo-gu",11160,"economy","company","total","count","30724"
2010,"Seoul","Guro-gu",11170,"economy","company","total","count","32381"
2020,"Seoul","Guro-gu",11170,"economy","company","total","count","53547"
2015,"Seoul","Guro-gu",11170,"economy","company","total","count","37445"
2020,"Seoul","Geumcheon-gu",11180,"economy","company","total","count","47354"
2015,"Seoul","Geumcheon-gu",11180,"economy","company","total","count","30080"
2010,"Seoul","Geumcheon-gu",11180,"economy","company","total","count","24520"
2010,"Seoul","Yeongdeungpo-gu",11190,"economy","company","total","count","41084"
2015,"Seoul","Yeongdeungpo-gu",11190,"economy","company","total","count","44512"
2020,"Seoul","Yeongdeungpo-gu",11190,"economy","company","total","count","74060"
2020,"Seoul","Dongjak-gu",11200,"economy","company","total","count","28505"
2010,"Seoul","Dongjak-gu",11200,"economy","company","total","count","19836"
2015,"Seoul","Dongjak-gu",11200,"economy","company","total","count","19609"
2020,"Seoul","Gwanak-gu",11210,"economy","company","total","count","38639"
2010,"Seoul","Gwanak-gu",11210,"economy","company","total","count","25797"
2015,"Seoul","Gwanak-gu",11210,"economy","company","total","count","26235"
2010,"Seoul","Seocho-gu",11220,"economy","company","total","count","36302"
2020,"Seoul","Seocho-gu",11220,"economy","company","total","count","75858"
2015,"Seoul","Seocho-gu",11220,"economy","company","total","count","47061"
2015,"Seoul","Gangnam-gu",11230,"economy","company","total","count","73590"
2020,"Seoul","Gangnam-gu",11230,"economy","company","total","count","115054"
2010,"Seoul","Gangnam-gu",11230,"economy","company","total","count","53494"
2015,"Seoul","Songpa-gu",11240,"economy","company","total","count","45375"
2020,"Seoul","Songpa-gu",11240,"economy","company","total","count","76412"
2010,"Seoul","Songpa-gu",11240,"economy","company","total","count","40931"
2015,"Seoul","Gangdong-gu",11250,"economy","company","total","count","30079"
2010,"Seoul","Gangdong-gu",11250,"economy","company","total","count","28124"
2020,"Seoul","Gangdong-gu",11250,"economy","company","total","count","40978"
2015,"Busan","Jung-gu",21010,"economy","company","total","count","14969"
2010,"Busan","Jung-gu",21010,"economy","company","total","count","14630"
2020,"Busan","Jung-gu",21010,"economy","company","total","count","18939"
2015,"Busan","Seo-gu",21020,"economy","company","total","count","9682"
2010,"Busan","Seo-gu",21020,"economy","company","total","count","9665"
2020,"Busan","Seo-gu",21020,"economy","company","total","count","11630"
2015,"Busan","Dong-gu",21030,"economy","company","total","count","13957"
2010,"Busan","Dong-gu",21030,"economy","company","total","count","14087"
2020,"Busan","Dong-gu",21030,"economy","company","total","count","18639"
2010,"Busan","Yeongdo-gu",21040,"economy","company","total","count","9330"
2020,"Busan","Yeongdo-gu",21040,"economy","company","total","count","11308"
2015,"Busan","Yeongdo-gu",21040,"economy","company","total","count","9080"
2020,"Busan","Busanjin-gu",21050,"economy","company","total","count","45040"
2015,"Busan","Busanjin-gu",21050,"economy","company","total","count","33104"
2010,"Busan","Busanjin-gu",21050,"economy","company","total","count","31932"
2015,"Busan","Dongnae-gu",21060,"economy","company","total","count","20383"
2020,"Busan","Dongnae-gu",21060,"economy","company","total","count","27739"
