Admin1,Admin2,pop2015_total,pop2015_men,pop2015_women,pop2020_total,pop2020_men,pop2020_women
,Changwon-si,1059241,541834,517407,1029389,522913,506476
,Uichang-gu,255200,130777,124423,262203,133404,128799
,Seongsan-gu,234908,122454,112454,213607,110503,103104
,Masanhappo-gu,178945,89461,89484,172632,85874,86758
,Masanhoewon-gu,208766,105597,103169,190389,95207,95182
,Jinhae-gu,181422,93545,87877,190558,97925,92633
,Uiryeong-gun,27069,13021,14048,25965,12784,13181
,Haman-gun,69355,36055,33300,65279,34271,31008
,Changnyeong-gun,61635,30805,30830,61302,30881,30421
,Goseong-gun,53882,27420,26462,50016,25327,24689
,Namhae-gun,44248,21277,22971,41587,20446,21141
,Hadong-gun,44918,21951,22967,41772,20773,20999
,Sancheong-gun,34034,16359,17675,33500,16275,17225
,Hamyang-gun,38454,18378,20076,37114,17980,19134
,Geochang-gun,60464,29567,30897,59595,29300,30295
,Hapcheon-gun,44797,21135,23662,42140,20370,21770
,Jeju,605619,304789,300830,670858,338173,332685
,Jeju-si,451758,226801,224957,492306,247474,244832
,Seogwipo-si,153861,77988,75873,178552,90699,87853
