"","sido_kr","sigungu_kr","sigungu_1_kr","sigungu_2_kr","sido_en","sigun_en","sigungu_1_en","sigungu_2_en","sdsgg_en","base_year","tax_exclude","sigungu_cd","sgg_tax_global","sgg_tax_income","sgg_industry"
"16","서울특별시","강서구","강서구","강서구","Seoul","Gangseo-gu","Gangseo-gu","Gangseo-gu","Gangseo-gu Seoul",2020,NA,11160,"A0204","A0104",11160
"17","서울특별시","구로구","구로구","구로구","Seoul","Guro-gu","Guro-gu","Guro-gu","Guro-gu Seoul",2020,NA,11170,"A0207","A0107",11170
"18","서울특별시","금천구","금천구","금천구","Seoul","Geumcheon-gu","Geumcheon-gu","Geumcheon-gu","Geumcheon-gu Seoul",2020,NA,11180,"A0208","A0108",11180
"19","서울특별시","영등포구","영등포구","영등포구","Seoul","Yeongdeungpo-gu","Yeongdeungpo-gu","Yeongdeungpo-gu","Yeongdeungpo-gu Seoul",2020,NA,11190,"A0220","A0120",11190
"20","서울특별시","동작구","동작구","동작구","Seoul","Dongjak-gu","Dongjak-gu","Dongjak-gu","Dongjak-gu Seoul",2020,NA,11200,"A0212","A0112",11200
"21","서울특별시","관악구","관악구","관악구","Seoul","Gwanak-gu","Gwanak-gu","Gwanak-gu","Gwanak-gu Seoul",2020,NA,11210,"A0205","A0105",11210
"22","서울특별시","서초구","서초구","서초구","Seoul","Seocho-gu","Seocho-gu","Seocho-gu","Seocho-gu Seoul",2020,NA,11220,"A0215","A0115",11220
"23","서울특별시","강남구","강남구","강남구","Seoul","Gangnam-gu","Gangnam-gu","Gangnam-gu","Gangnam-gu Seoul",2020,NA,11230,"A0201","A0101",11230
"24","서울특별시","송파구","송파구","송파구","Seoul","Songpa-gu","Songpa-gu","Songpa-gu","Songpa-gu Seoul",2020,NA,11240,"A0218","A0118",11240
"25","서울특별시","강동구","강동구","강동구","Seoul","Gangdong-gu","Gangdong-gu","Gangdong-gu","Gangdong-gu Seoul",2020,NA,11250,"A0202","A0102",11250
"26","부산광역시","중구","중구","중구","Busan","Jung-gu","Jung-gu","Jung-gu","Jung-gu Busan",2020,NA,21010,"A1515","A1415",21010
"27","부산광역시","서구","서구","서구","Busan","Seo-gu","Seo-gu","Seo-gu","Seo-gu Busan",2020,NA,21020,"A1511","A1411",21020
"28","부산광역시","동구","동구","동구","Busan","Dong-gu","Dong-gu","Dong-gu","Dong-gu Busan",2020,NA,21030,"A1505","A1405",21030
"29","부산광역시","영도구","영도구","영도구","Busan","Yeongdo-gu","Yeongdo-gu","Yeongdo-gu","Yeongdo-gu Busan",2020,NA,21040,"A1514","A1414",21040
"30","부산광역시","부산진구","부산진구","부산진구","Busan","Busanjin-gu","Busanjin-gu","Busanjin-gu","Busanjin-gu Busan",2020,NA,21050,"A1507","A1407",21050
"31","부산광역시","동래구","동래구","동래구","Busan","Dongnae-gu","Dongnae-gu","Dongnae-gu","Dongnae-gu Busan",2020,NA,21060,"A1506","A1406",21060
"32","부산광역시","남구","남구","남구","Busan","Nam-gu","Nam-gu","Nam-gu","Nam-gu Busan",2020,NA,21070,"A1504","A1404",21070
"33","부산광역시","북구","북구","북구","Busan","Buk-gu","Buk-gu","Buk-gu","Buk-gu Busan",2020,NA,21080,"A1508","A1408",21080
"34","부산광역시","해운대구","해운대구","해운대구","Busan","Haeundae-gu","Haeundae-gu","Haeundae-gu","Haeundae-gu Busan",2020,NA,21090,"A1516","A1416",21090
"35","부산광역시","사하구","사하구","사하구","Busan","Saha-gu","Saha-gu","Saha-gu","Saha-gu Busan",2020,NA,21100,"A1510","A1410",21100
"36","부산광역시","금정구","금정구","금정구","Busan","Geumjeong-gu","Geumjeong-gu","Geumjeong-gu","Geumjeong-gu Busan",2020,NA,21110,"A1502","A1402",21110
"37","부산광역시","강서구","강서구","강서구","Busan","Gangseo-gu","Gangseo-gu","Gangseo-gu","Gangseo-gu Busan",2020,NA,21120,"A1501","A1401",21120
"38","부산광역시","연제구","연제구","연제구","Busan","Yeonje-gu","Yeonje-gu","Yeonje-gu","Yeonje-gu Busan",2020,NA,21130,"A1513","A1413",21130
"39","부산광역시","수영구","수영구","수영구","Busan","Suyeong-gu","Suyeong-gu","Suyeong-gu","Suyeong-gu Busan",2020,NA,21140,"A1512","A1412",21140
"40","부산광역시","사상구","사상구","사상구","Busan","Sasang-gu","Sasang-gu","Sasang-gu","Sasang-gu Busan",2020,NA,21150,"A1509","A1409",21150
"41","부산광역시","기장군","기장군","기장군","Busan","Gijang-gun","Gijang-gun","Gijang-gun","Gijang-gun Busan",2020,NA,21510,"A1503","A1403",21310
"42","대구광역시","중구","중구","중구","Daegu","Jung-gu","Jung-gu","Jung-gu","Jung-gu Daegu",2020,NA,22010,"A1308","A1208",22010
"43","대구광역시","동구","동구","동구","Daegu","Dong-gu","Dong-gu","Dong-gu","Dong-gu Daegu",2020,NA,22020,"A1304","A1204",22020
"44","대구광역시","서구","서구","서구","Daegu","Seo-gu","Seo-gu","Seo-gu","Seo-gu Daegu",2020,NA,22030,"A1306","A1206",22030
"45","대구광역시","남구","남구","남구","Daegu","Nam-gu","Nam-gu","Nam-gu","Nam-gu Daegu",2020,NA,22040,"A1301","A1201",22040
"46","대구광역시","북구","북구","북구","Daegu","Buk-gu","Buk-gu","Buk-gu","Buk-gu Daegu",2020,NA,22050,"A1305","A1205",22050
"47","대구광역시","수성구","수성구","수성구","Daegu","Suseong-gu","Suseong-gu","Suseong-gu","Suseong-gu Daegu",2020,NA,22060,"A1307","A1207",22060
"48","대구광역시","달서구","달서구","달서구","Daegu","Dalseo-gu","Dalseo-gu","Dalseo-gu","Dalseo-gu Daegu",2020,NA,22070,"A1302","A1202",22070
"49","대구광역시","달성군","달성군","달성군","Daegu","Dalseong-gun","Dalseong-gun","Dalseong-gun","Dalseong-gun Daegu",2020,NA,22510,"A1303","A1203",22310
"50","인천광역시","중구","중구","중구","Incheon","Jung-gu","Jung-gu","Jung-gu","Jung-gu Incheon",2020,NA,23010,"A0310","A0210",23010
"51","인천광역시","동구","동구","동구","Incheon","Dong-gu","Dong-gu","Dong-gu","Dong-gu Incheon",2020,NA,23020,"A0304","A0205",23020
"52","인천광역시","남구","남구","남구","Incheon","Nam-gu","Nam-gu","Nam-gu","Nam-gu Incheon",2015,NA,NA,"","",23030
"53","인천광역시","연수구","연수구","연수구","Incheon","Yeonsu-gu","Yeonsu-gu","Yeonsu-gu","Yeonsu-gu Incheon",2020,NA,23040,"A0308","A0208",23040
"54","인천광역시","남동구","남동구","남동구","Incheon","Namdong-gu","Namdong-gu","Namdong-gu","Namdong-gu Incheon",2020,NA,23050,"A0303","A0204",23050
"55","인천광역시","부평구","부평구","부평구","Incheon","Bupyeong-gu","Bupyeong-gu","Bupyeong-gu","Bupyeong-gu Incheon",2020,NA,23060,"A0306","A0206",23060
"56","인천광역시","계양구","계양구","계양구","Incheon","Gyeyang-gu","Gyeyang-gu","Gyeyang-gu","Gyeyang-gu Incheon",2020,NA,23070,"A0302","A0202",23070
"57","인천광역시","서구","서구","서구","Incheon","Seo-gu","Seo-gu","Seo-gu","Seo-gu Incheon",2020,NA,23080,"A0307","A0207",23080
"58","인천광역시","미추홀구","미추홀구","미추홀구","Incheon","Michuhol-gu","Michuhol-gu","Michuhol-gu","Michuhol-gu Incheon",2020,NA,23090,"A0305","A0203",23090
"59","인천광역시","강화군","강화군","강화군","Incheon","Ganghwa-gun","Ganghwa-gun","Ganghwa-gun","Ganghwa-gun Incheon",2020,NA,23510,"A0301","A0201",23310
"60","인천광역시","옹진군","옹진군","옹진군","Incheon","Ongjin-gun","Ongjin-gun","Ongjin-gun","Ongjin-gun Incheon",2020,NA,23520,"A0309","A0209",23320
"61","광주광역시","동구","동구","동구","Gwangju","Dong-gu","Dong-gu","Dong-gu","Dong-gu Gwangju",2020,NA,24010,"A1003","A0903",24010
"62","광주광역시","서구","서구","서구","Gwangju","Seo-gu","Seo-gu","Seo-gu","Seo-gu Gwangju",2020,NA,24020,"A1005","A0905",24020
"63","광주광역시","남구","남구","남구","Gwangju","Nam-gu","Nam-gu","Nam-gu","Nam-gu Gwangju",2020,NA,24030,"A1002","A0902",24030
"64","광주광역시","북구","북구","북구","Gwangju","Buk-gu","Buk-gu","Buk-gu","Buk-gu Gwangju",2020,NA,24040,"A1004","A0904",24040
"65","광주광역시","광산구","광산구","광산구","Gwangju","Gwangsan-gu","Gwangsan-gu","Gwangsan-gu","Gwangsan-gu Gwangju",2020,NA,24050,"A1001","A0901",24050
"66","대전광역시","동구","동구","동구","Daejeon","Dong-gu","Dong-gu","Dong-gu","Dong-gu Daejeon",2020,NA,25010,"A0602","A0502",25010
"67","대전광역시","중구","중구","중구","Daejeon","Jung-gu","Jung-gu","Jung-gu","Jung-gu Daejeon",2020,NA,25020,"A0605","A0505",25020
"68","대전광역시","서구","서구","서구","Daejeon","Seo-gu","Seo-gu","Seo-gu","Seo-gu Daejeon",2020,NA,25030,"A0603","A0503",25030
"69","대전광역시","유성구","유성구","유성구","Daejeon","Yuseong-gu","Yuseong-gu","Yuseong-gu","Yuseong-gu Daejeon",2020,NA,25040,"A0604","A0504",25040
"70","대전광역시","대덕구","대덕구","대덕구","Daejeon","Daedeok-gu","Daedeok-gu","Daedeok-gu","Daedeok-gu Daejeon",2020,NA,25050,"A0601","A0501",25050
"71","울산광역시","중구","중구","중구","Ulsan","Jung-gu","Jung-gu","Jung-gu","Jung-gu Ulsan",2020,NA,26010,"A1605","A1505",26010
"72","울산광역시","남구","남구","남구","Ulsan","Nam-gu","Nam-gu","Nam-gu","Nam-gu Ulsan",2020,NA,26020,"A1601","A1501",26020
"73","울산광역시","동구","동구","동구","Ulsan","Dong-gu","Dong-gu","Dong-gu","Dong-gu Ulsan",2020,NA,26030,"A1602","A1502",26030
"74","울산광역시","북구","북구","북구","Ulsan","Buk-gu","Buk-gu","Buk-gu","Buk-gu Ulsan",2020,NA,26040,"A1603","A1503",26040
"75","울산광역시","울주군","울주군","울주군","Ulsan","Ulju-gun","Ulju-gun","Ulju-gun","Ulju-gun Ulsan",2020,NA,26510,"A1604","A1504",26310
"76","세종특별자치시","세종시","세종시","세종시","Sejong City","Sejong City","Sejong City","Sejong City","Sejong City Sejong City",2020,NA,29010,"A09","A08",29010
"77","경기도","수원시","수원시","","Gyeonggi-do","Suwon-si","Suwon-si","Suwon-si","Suwon-si Gyeonggi-do",2020,NA,31010,"A0413","A0313",31010
"78","경기도","수원시 장안구","수원시","장안구","Gyeonggi-do","Suwon-si","Jangan-gu","Jangan-gu Suwon-si","Jangan-gu Suwon-si Gyeonggi-do",2020,NA,31011,"A0413","A0313",31011
"79","경기도","수원시 권선구","수원시","권선구","Gyeonggi-do","Suwon-si","Gwonseon-gu","Gwonseon-gu Suwon-si","Gwonseon-gu Suwon-si Gyeonggi-do",2020,NA,31012,"A0413","A0313",31012
"80","경기도","수원시 팔달구","수원시","팔달구","Gyeonggi-do","Suwon-si","Paldal-gu","Paldal-gu Suwon-si","Paldal-gu Suwon-si Gyeonggi-do",2020,NA,31013,"A0413","A0313",31013
"81","경기도","수원시 영통구","수원시","영통구","Gyeonggi-do","Suwon-si","Yeongtong-gu","Yeongtong-gu Suwon-si","Yeongtong-gu Suwon-si Gyeonggi-do",2020,NA,31014,"A0413","A0313",31014
"82","경기도","성남시","성남시","","Gyeonggi-do","Seongnam-si","Seongnam-si","Seongnam-si","Seongnam-si Gyeonggi-do",2020,NA,31020,"A0412","A0312",31020
"83","경기도","성남시 수정구","성남시","수정구","Gyeonggi-do","Seongnam-si","Sujeong-gu","Sujeong-gu Seongnam-si","Sujeong-gu Seongnam-si Gyeonggi-do",2020,NA,31021,"A0412","A0312",31021
"84","경기도","성남시 중원구","성남시","중원구","Gyeonggi-do","Seongnam-si","Jungwon-gu","Jungwon-gu Seongnam-si","Jungwon-gu Seongnam-si Gyeonggi-do",2020,NA,31022,"A0412","A0312",31022
"85","경기도","성남시 분당구","성남시","분당구","Gyeonggi-do","Seongnam-si","Bundang-gu","Bundang-gu Seongnam-si","Bundang-gu Seongnam-si Gyeonggi-do",2020,NA,31023,"A0412","A0312",31023
"86","경기도","의정부시","의정부시","의정부시","Gyeonggi-do","Uijeongbu-si","Uijeongbu-si","Uijeongbu-si","Uijeongbu-si Gyeonggi-do",2020,NA,31030,"A0425","A0325",31030
"87","경기도","안양시","안양시","","Gyeonggi-do","Anyang-si","Anyang-si","Anyang-si","Anyang-si Gyeonggi-do",2020,NA,31040,"A0417","A0317",31040
"88","경기도","안양시 만안구","안양시","만안구","Gyeonggi-do","Anyang-si","Manan-gu","Manan-gu Anyang-si","Manan-gu Anyang-si Gyeonggi-do",2020,NA,31041,"A0417","A0317",31041
"89","경기도","안양시 동안구","안양시","동안구","Gyeonggi-do","Anyang-si","Dongan-gu","Dongan-gu Anyang-si","Dongan-gu Anyang-si Gyeonggi-do",2020,NA,31042,"A0417","A0317",31042
"90","경기도","부천시","부천시","부천시","Gyeonggi-do","Bucheon-si","Bucheon-si","Bucheon-si","Bucheon-si Gyeonggi-do",2020,NA,31050,"A0411","A0311",31050
"91","경기도","부천시 원미구","부천시","원미구","Gyeonggi-do","Bucheon-si","Wonmi-gu","Wonmi-gu Bucheon-si","Wonmi-gu Bucheon-si Gyeonggi-do",2015,NA,NA,"","",31051
"92","경기도","부천시 소사구","부천시","소사구","Gyeonggi-do","Bucheon-si","Sosa-gu","Sosa-gu Bucheon-si","Sosa-gu Bucheon-si Gyeonggi-do",2015,NA,NA,"","",31052
"93","경기도","부천시 오정구","부천시","오정구","Gyeonggi-do","Bucheon-si","Ojeong-gu","Ojeong-gu Bucheon-si","Ojeong-gu Bucheon-si Gyeonggi-do",2015,NA,NA,"","",31053
"94","경기도","광명시","광명시","광명시","Gyeonggi-do","Gwangmyeong-si","Gwangmyeong-si","Gwangmyeong-si","Gwangmyeong-si Gyeonggi-do",2020,NA,31060,"A0404","A0304",31060
"95","경기도","평택시","평택시","평택시","Gyeonggi-do","Pyeongtaek-si","Pyeongtaek-si","Pyeongtaek-si","Pyeongtaek-si Gyeonggi-do",2020,NA,31070,"A0428","A0328",31070
"96","경기도","동두천시","동두천시","동두천시","Gyeonggi-do","Dongducheon-si","Dongducheon-si","Dongducheon-si","Dongducheon-si Gyeonggi-do",2020,NA,31080,"A0410","A0310",31080
"97","경기도","안산시","안산시","","Gyeonggi-do","Ansan-si","Ansan-si","Ansan-si","Ansan-si Gyeonggi-do",2020,NA,31090,"A0415","A0315",31090
"98","경기도","안산시 상록구","안산시","상록구","Gyeonggi-do","Ansan-si","Sangnok-gu","Sangnok-gu Ansan-si","Sangnok-gu Ansan-si Gyeonggi-do",2020,NA,31091,"A0415","A0315",31091
"99","경기도","안산시 단원구","안산시","단원구","Gyeonggi-do","Ansan-si","Danwon-gu","Danwon-gu Ansan-si","Danwon-gu Ansan-si Gyeonggi-do",2020,NA,31092,"A0415","A0315",31092
"100","경기도","고양시","고양시","","Gyeonggi-do","Goyang-si","Goyang-si","Goyang-si","Goyang-si Gyeonggi-do",2020,NA,31100,"A0402","A0302",31100
"101","경기도","고양시 덕양구","고양시","덕양구","Gyeonggi-do","Goyang-si","Deogyang-gu","Deogyang-gu Goyang-si","Deogyang-gu Goyang-si Gyeonggi-do",2020,NA,31101,"A0402","A0302",31101
"102","경기도","고양시 일산동구","고양시","일산동구","Gyeonggi-do","Goyang-si","Ilsandong-gu","Ilsandong-gu Goyang-si","Ilsandong-gu Goyang-si Gyeonggi-do",2020,NA,31103,"A0402","A0302",31103
"103","경기도","고양시 일산서구","고양시","일산서구","Gyeonggi-do","Goyang-si","Ilsanseo-gu","Ilsanseo-gu Goyang-si","Ilsanseo-gu Goyang-si Gyeonggi-do",2020,NA,31104,"A0402","A0302",31104
"104","경기도","과천시","과천시","과천시","Gyeonggi-do","Gwacheon-si","Gwacheon-si","Gwacheon-si","Gwacheon-si Gyeonggi-do",2020,NA,31110,"A0403","A0303",31110
"105","경기도","구리시","구리시","구리시","Gyeonggi-do","Guri-si","Guri-si","Guri-si","Guri-si Gyeonggi-do",2020,NA,31120,"A0406","A0306",31120
"106","경기도","남양주시","남양주시","남양주시","Gyeonggi-do","Namyangju-si","Namyangju-si","Namyangju-si","Namyangju-si Gyeonggi-do",2020,NA,31130,"A0409","A0309",31130
"107","경기도","오산시","오산시","오산시","Gyeonggi-do","Osan-si","Osan-si","Osan-si","Osan-si Gyeonggi-do",2020,NA,31140,"A0422","A0322",31140
"108","경기도","시흥시","시흥시","시흥시","Gyeonggi-do","Siheung-si","Siheung-si","Siheung-si","Siheung-si Gyeonggi-do",2020,NA,31150,"A0414","A0314",31150
"109","경기도","군포시","군포시","군포시","Gyeonggi-do","Gunpo-si","Gunpo-si","Gunpo-si","Gunpo-si Gyeonggi-do",2020,NA,31160,"A0407","A0307",31160
"110","경기도","의왕시","의왕시","의왕시","Gyeonggi-do","Uiwang-si","Uiwang-si","Uiwang-si","Uiwang-si Gyeonggi-do",2020,NA,31170,"A0424","A0324",31170
"111","경기도","하남시","하남시","하남시","Gyeonggi-do","Hanam-si","Hanam-si","Hanam-si","Hanam-si Gyeonggi-do",2020,NA,31180,"A0430","A0330",31180
"112","경기도","용인시","용인시","","Gyeonggi-do","Yongin-si","Yongin-si","Yongin-si","Yongin-si Gyeonggi-do",2020,NA,31190,"A0423","A0323",31190
"113","경기도","용인시 처인구","용인시","처인구","Gyeonggi-do","Yongin-si","Cheoin-gu","Cheoin-gu Yongin-si","Cheoin-gu Yongin-si Gyeonggi-do",2020,NA,31191,"A0423","A0323",31191
"114","경기도","용인시 기흥구","용인시","기흥구","Gyeonggi-do","Yongin-si","Giheung-gu","Giheung-gu Yongin-si","Giheung-gu Yongin-si Gyeonggi-do",2020,NA,31192,"A0423","A0323",31192
"115","경기도","용인시 수지구","용인시","수지구","Gyeonggi-do","Yongin-si","Suji-gu","Suji-gu Yongin-si","Suji-gu Yongin-si Gyeonggi-do",2020,NA,31193,"A0423","A0323",31193
"116","경기도","파주시","파주시","파주시","Gyeonggi-do","Paju-si","Paju-si","Paju-si","Paju-si Gyeonggi-do",2020,NA,31200,"A0427","A0327",31200
"117","경기도","이천시","이천시","이천시","Gyeonggi-do","Icheon-si","Icheon-si","Icheon-si","Icheon-si Gyeonggi-do",2020,NA,31210,"A0426","A0326",31210
"118","경기도","안성시","안성시","안성시","Gyeonggi-do","Anseong-si","Anseong-si","Anseong-si","Anseong-si Gyeonggi-do",2020,NA,31220,"A0416","A0316",31220
"119","경기도","김포시","김포시","김포시","Gyeonggi-do","Gimpo-si","Gimpo-si","Gimpo-si","Gimpo-si Gyeonggi-do",2020,NA,31230,"A0408","A0308",31230
"120","경기도","화성시","화성시","화성시","Gyeonggi-do","Hwaseong-si","Hwaseong-si","Hwaseong-si","Hwaseong-si Gyeonggi-do",2020,NA,31240,"A0431","A0331",31240
"121","경기도","광주시","광주시","광주시","Gyeonggi-do","Gwangju-si","Gwangju-si","Gwangju-si","Gwangju-si Gyeonggi-do",2020,NA,31250,"A0405","A0305",31250
"122","경기도","양주시","양주시","양주시","Gyeonggi-do","Yangju-si","Yangju-si","Yangju-si","Yangju-si Gyeonggi-do",2020,NA,31260,"A0418","A0318",31260
"123","경기도","포천시","포천시","포천시","Gyeonggi-do","Pocheon-si","Pocheon-si","Pocheon-si","Pocheon-si Gyeonggi-do",2020,NA,31270,"A0429","A0329",31270
"124","경기도","여주시","여주시","여주시","Gyeonggi-do","Yeoju-si","Yeoju-si","Yeoju-si","Yeoju-si Gyeonggi-do",2020,NA,31280,"A0420","A0320",31280
"125","경기도","여주시","여주시","여주시","Gyeonggi-do","Yeoju-si","Yeoju-si","Yeoju-si","Yeoju-si Gyeonggi-do",2010,NA,NA,"","",31320
"126","경기도","연천군","연천군","연천군","Gyeonggi-do","Yeoncheon-gun","Yeoncheon-gun","Yeoncheon-gun","Yeoncheon-gun Gyeonggi-do",2020,NA,31550,"A0421","A0321",31350
"127","경기도","가평군","가평군","가평군","Gyeonggi-do","Gapyeong-gun","Gapyeong-gun","Gapyeong-gun","Gapyeong-gun Gyeonggi-do",2020,NA,31570,"A0401","A0301",31370
"128","경기도","양평군","양평군","양평군","Gyeonggi-do","Yangpyeong-gun","Yangpyeong-gun","Yangpyeong-gun","Yangpyeong-gun Gyeonggi-do",2020,NA,31580,"A0419","A0319",31380
"129","강원특별자치도","춘천시","춘천시","춘천시","Gangwon State","Chuncheon-si","Chuncheon-si","Chuncheon-si","Chuncheon-si Gangwon State",2020,NA,32010,"A0513","A0413",32010
"130","강원특별자치도","원주시","원주시","원주시","Gangwon State","Wonju-si","Wonju-si","Wonju-si","Wonju-si Gangwon State",2020,NA,32020,"A0509","A0409",32020
"131","강원특별자치도","강릉시","강릉시","강릉시","Gangwon State","Gangneung-si","Gangneung-si","Gangneung-si","Gangneung-si Gangwon State",2020,NA,32030,"A0501","A0401",32030
"132","강원특별자치도","동해시","동해시","동해시","Gangwon State","Donghae-si","Donghae-si","Donghae-si","Donghae-si Gangwon State",2020,NA,32040,"A0503","A0403",32040
"133","강원특별자치도","태백시","태백시","태백시","Gangwon State","Taebaek-si","Taebaek-si","Taebaek-si","Taebaek-si Gangwon State",2020,NA,32050,"A0514","A0414",32050
"134","강원특별자치도","속초시","속초시","속초시","Gangwon State","Sokcho-si","Sokcho-si","Sokcho-si","Sokcho-si Gangwon State",2020,NA,32060,"A0505","A0405",32060
"135","강원특별자치도","삼척시","삼척시","삼척시","Gangwon State","Samcheok-si","Samcheok-si","Samcheok-si","Samcheok-si Gangwon State",2020,NA,32070,"A0504","A0404",32070
"136","강원특별자치도","홍천군","홍천군","홍천군","Gangwon State","Hongcheon-gun","Hongcheon-gun","Hongcheon-gun","Hongcheon-gun Gangwon State",2020,NA,32510,"A0516","A0416",32310
"137","강원특별자치도","횡성군","횡성군","횡성군","Gangwon State","Hoengseong-gun","Hoengseong-gun","Hoengseong-gun","Hoengseong-gun Gangwon State",2020,NA,32520,"A0518","A0418",32320
"138","강원특별자치도","영월군","영월군","영월군","Gangwon State","Yeongwol-gun","Yeongwol-gun","Yeongwol-gun","Yeongwol-gun Gangwon State",2020,NA,32530,"A0508","A0408",32330
"139","강원특별자치도","평창군","평창군","평창군","Gangwon State","Pyeongchang-gun","Pyeongchang-gun","Pyeongchang-gun","Pyeongchang-gun Gangwon State",2020,NA,32540,"A0515","A0415",32340
"140","강원특별자치도","정선군","정선군","정선군","Gangwon State","Jeongseon-gun","Jeongseon-gun","Jeongseon-gun","Jeongseon-gun Gangwon State",2020,NA,32550,"A0511","A0411",32350
"141","강원특별자치도","철원군","철원군","철원군","Gangwon State","Cheorwon-gun","Cheorwon-gun","Cheorwon-gun","Cheorwon-gun Gangwon State",2020,NA,32560,"A0512","A0412",32360
"142","강원특별자치도","화천군","화천군","화천군","Gangwon State","Hwacheon-gun","Hwacheon-gun","Hwacheon-gun","Hwacheon-gun Gangwon State",2020,NA,32570,"A0517","A0417",32370
"143","강원특별자치도","양구군","양구군","양구군","Gangwon State","Yanggu-gun","Yanggu-gun","Yanggu-gun","Yanggu-gun Gangwon State",2020,NA,32580,"A0506","A0406",32380
"144","강원특별자치도","인제군","인제군","인제군","Gangwon State","Inje-gun","Inje-gun","Inje-gun","Inje-gun Gangwon State",2020,NA,32590,"A0510","A0410",32390
"145","강원특별자치도","고성군","고성군","고성군","Gangwon State","Goseong-gun","Goseong-gun","Goseong-gun","Goseong-gun Gangwon State",2020,NA,32600,"A0502","A0402",32400
"146","강원특별자치도","양양군","양양군","양양군","Gangwon State","Yangyang-gun","Yangyang-gun","Yangyang-gun","Yangyang-gun Gangwon State",2020,NA,32610,"A0507","A0407",32410
"147","충청북도","청주시","청주시","","Chungcheongbuk-do","Cheongju-si","Cheongju-si","","Cheongju-si Chungcheongbuk-do",2010,NA,NA,"","",33010
"148","충청북도","청주시 상당구","청주시","상당구","Chungcheongbuk-do","Cheongju-si","Sangdang-gu","Sangdang-gu Cheongju-si","Sangdang-gu Cheongju-si Chungcheongbuk-do",2010,NA,NA,"","",33011
"149","충청북도","청주시 흥덕구","청주시","흥덕구","Chungcheongbuk-do","Cheongju-si","Heungdeok-gu","Heungdeok-gu Cheongju-si","Heungdeok-gu Cheongju-si Chungcheongbuk-do",2010,NA,NA,"","",33012
"150","충청북도","충주시","충주시","충주시","Chungcheongbuk-do","Chungju-si","Chungju-si","Chungju-si","Chungju-si Chungcheongbuk-do",2020,NA,33020,"A0711","A0611",33020
"151","충청북도","제천시","제천시","제천시","Chungcheongbuk-do","Jecheon-si","Jecheon-si","Jecheon-si","Jecheon-si Chungcheongbuk-do",2020,NA,33030,"A0707","A0607",33030
"152","충청북도","청주시","청주시","","Chungcheongbuk-do","Cheongju-si","Cheongju-si","","Cheongju-si Chungcheongbuk-do",2020,NA,33040,"A0710","A0610",33040
